rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,1,48,"529225"
2,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",1,2,62,"461352"
3,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,3,104,"363425"
4,"spotify:track:27NovPIUIRrOZoCHxABJwK","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",4,4,34,"292396"
5,"spotify:track:7zx1i0jGcFwMBurajgKlO7","Jonasu","Black Magic","3Beat",4,5,64,"279465"
6,"spotify:track:4laAKIq9ZxBCwf99rauPYb","Becky Hill, David Guetta","Remember","Polydor Records",5,6,69,"265165"
7,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",4,7,27,"252946"
8,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",8,8,76,"251529"
9,"spotify:track:32pPek0KsHsMSSFogNu49f","Digga D, ArrDee","Wasted","EGA Music Group",8,9,13,"227417"
10,"spotify:track:2zxEc1GCSCxbHIXTfhraRC","Dave, Stormzy","Clash (feat. Stormzy)","Neighbourhood",2,10,48,"221708"
11,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",3,11,81,"217249"
12,"spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP","Galantis, David Guetta, Little Mix","Heartbreak Anthem (with David Guetta & Little Mix)","Big Beat Records",6,12,97,"215556"
13,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",2,14,139,"204642"
14,"spotify:track:6Dy1jexKYriXAVG6evyUTJ","Joel Corry, Jax Jones, Charli XCX, Saweetie","OUT OUT (feat. Charli XCX & Saweetie)","Atlantic Records UK",14,15,13,"203771"
15,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",2,13,94,"200628"
16,"spotify:track:1olCzMxaeiQKNO64ssWVGr","Rain Radio, DJ Craig Gorman","Talk About","Polydor Records",16,18,55,"195790"
17,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",17,17,43,"193173"
18,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,19,153,"190565"
19,"spotify:track:44V6EzbUSYgyfsNiP0FrlA","Ed Sheeran","Visiting Hours","Atlantic Records UK",4,16,7,"184192"
20,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",4,20,97,"182856"
21,"spotify:track:14Bcv6siTBPw3TlP84dasC","KSI","Holiday","BMG Rights Management (US) LLC",2,21,69,"181198"
22,"spotify:track:2zBDKzqa6sdxeI0fC6OWIC","Tones And I","Fly Away","Elektra (NEK)",18,23,73,"174064"
23,"spotify:track:4XvcHTUfIlWfyJTRG0aqlo","Sleepy Hallow","2055","Winners Circle/RCA Records",19,22,39,"172846"
24,"spotify:track:0MWiSBKm8Avs8iDIxcertp","Anne-Marie, Little Mix","Kiss My (Uh Oh)","Atlantic Records/Asylum",18,24,34,"172087"
25,"spotify:track:6M3PsepEj5gyJoIi7Xvr7u","The Weeknd","Take My Breath - Single Version","XO / Republic Records",11,25,20,"158084"
26,"spotify:track:6OTKVgVpVaVjhRLYizPJKA","PinkPantheress","Just for Me","Parlophone UK",26,26,13,"151314"
27,"spotify:track:2lw3naleLuf81Si3tuFVak","Mabel","Let Them Know","Polydor Records",24,28,69,"145188"
28,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",11,32,314,"144910"
