Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-02-10,-0.513914,-136.04000000000002,0.0,-4.876000000000003,0.98,0.05,0.57,1.65,1.21,-0.04,0.78,1.41,0.82,1.09,0.26,0.47,1.1,0.72,0.48,0.51,0.12,1.2,1.05,-0.25,0.38,-18.97,-11.45,5.32,10.85,10.85,0.5321441486070851,0.5374839892118578,-0.0053398406047726,-0.09,-0.76,3.65,1.85,0.39,0.15,-3.97,-1.68,-2.96,3.63,-5.45,-0.4,-0.32,-0.03,1.86,0
2017-02-17,-0.3808123,-16.5,0.0,9.295999999999996,0.57,0.98,-0.77,-0.04,1.65,-0.64,0.82,0.78,0.01,0.47,1.09,-0.75,0.48,1.1,-0.69,1.2,0.51,0.23,0.38,1.05,0.09,-6.38,-1.05,7.95,11.49,11.49,0.5250010438532863,0.5321441486070851,-0.0071431047537988,3.65,-0.09,-4.68,0.15,1.85,2.45,-2.96,-3.97,0.25,-0.4,3.63,2.52,1.86,-0.32,3.62,0
2017-02-24,-0.210522,10.840000000000032,0.0,-7.520000000000005,-0.77,0.57,1.8,-0.64,-0.04,1.58,0.01,0.82,0.77,-0.75,0.47,1.73,-0.69,0.48,0.88,0.23,1.2,0.44,-0.19,0.95,0.16,9.3,-27.73,-2.13,11.47,11.47,0.5202756511105983,0.5250010438532863,-0.004725392742688,-4.68,3.65,2.43,2.45,0.15,-0.32,0.25,-2.96,3.79,2.52,-0.4,3.28,3.62,1.86,-1.24,0
2017-03-03,-0.0214899999999999,-174.18000000000004,0.0,7.579999999999998,1.8,-0.77,-0.42,1.58,-0.64,0.42,0.77,0.01,0.12,1.73,-0.75,-0.27,0.88,-0.69,0.05,0.44,0.23,-0.17,0.16,-0.19,-1.16,-2.13,9.3,15.22,10.96,10.96,0.5464701296827986,0.5202756511105983,0.0261944785722003,2.43,-4.68,0.19,-0.32,2.45,0.82,3.79,0.25,1.43,3.28,2.52,-8.19,-1.24,3.62,0.5,0
2017-03-10,0.189951,92.33,0.0,1.7159999999999969,-0.42,1.8,1.12,0.42,1.58,0.7,0.12,0.77,1.22,-0.27,1.73,1.05,0.05,0.88,1.03,-0.17,0.44,0.93,-1.16,0.16,3.16,4.3,-7.92,-8.25,11.66,11.66,0.5450747832649959,0.5464701296827986,-0.0013953464178027,0.19,2.43,-0.63,0.82,-0.32,3.7,1.43,3.79,-1.64,-8.19,3.28,10.22,0.5,-1.24,0.84,0
2017-03-17,0.3487086,-2.069999999999993,0.0,-0.7000000000000028,1.12,-0.42,-1.19,0.7,0.42,-0.6,1.22,0.12,-1.01,1.05,-0.27,-1.07,1.03,0.05,-0.65,0.93,-0.17,-0.93,3.16,-1.16,-0.58,-13.27,-10.09,87.06,11.28,11.28,0.5436872478986875,0.5450747832649959,-0.0013875353663084,-0.63,0.19,-1.5,3.7,0.82,0.09,-1.64,1.43,-2.41,10.22,-8.19,-6.59,0.84,0.5,-1.86,0
2017-03-24,0.4443074999999999,-30.370000000000005,0.0,-13.316000000000004,-1.19,1.12,-0.19,-0.6,0.7,-0.05,-1.01,1.22,1.26,-1.07,1.05,-0.13,-0.65,1.03,0.95,-0.93,0.93,0.43,-0.58,3.16,0.25,111.54,-19.59,-33.94,12.96,12.96,0.5040554635752946,0.5436872478986875,-0.0396317843233928,-1.5,-0.63,-0.82,0.09,3.7,-1.65,-2.41,-1.64,1.26,-6.59,10.22,-2.06,-1.86,0.84,-2.55,0
2017-03-31,0.468206,137.37,0.0,7.303999999999995,-0.19,-1.19,0.36,-0.05,-0.6,1.36,1.26,-1.01,0.55,-0.13,-1.07,0.51,0.95,-0.65,-0.04,0.43,-0.93,-0.44,0.25,-0.58,-0.77,-16.34,80.0,7.03,12.37,12.37,0.5177721875302672,0.5040554635752946,0.0137167239549725,-0.82,-1.5,-4.35,-1.65,0.09,-2.35,1.26,-2.41,2.81,-2.06,-6.59,2.54,-2.55,-1.86,-4.24,0
2017-04-07,0.409378,-175.59000000000003,0.0,-1.0200000000000018,0.36,-0.19,-2.75,1.36,-0.05,0.35,0.55,1.26,0.62,0.51,-0.13,-2.13,-0.04,0.95,0.4,-0.44,0.43,-0.44,-0.77,0.25,0.74,-11.63,-24.56,-2.63,12.87,12.87,0.49888062634755,0.5177721875302672,-0.0188915611827172,-4.35,-0.82,-3.72,-2.35,-1.65,-1.72,2.81,1.26,-3.78,2.54,-2.06,-9.12,-4.24,-2.55,-1.3,0
2017-04-21,0.324742,85.99000000000001,0.0,2.6199999999999988,-3.19,0.24,1.26,-0.34,1.86,1.33,0.49,1.25,1.8,-2.63,0.54,1.28,-0.57,1.37,1.45,-0.05,-0.16,1.97,-0.83,1.05,2.26,-9.43,-6.19,1.04,14.63,14.63,0.5209158984477837,0.504254643927208,0.0166612545205757,-2.69,-2.24,2.07,-2.72,-1.09,0.15,-6.58,1.57,0.25,-3.66,-3.71,1.67,2.93,-3.77,7.5,0
