Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,TED,Previous TED,TED_Change,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-01-11,-0.0966738,-113.89,0.0,-26.866666666666674,1.12,0.45,0.5,0.29,1.11,-0.47,0.83,1.55,0.64,0.98,0.57,0.33,0.98,0.81,0.12,-0.28,1.43,0.31,0.26,1.01,0.54,-17.59,43.05,-15.17,11.26,11.26,0.51,0.49,0.02,0.5338741745306628,0.5433921792248624,-0.0095180046941996,-0.45,1.44,-1.32,0.83,4.42,-1.22,-0.23,-0.54,-0.14,7.47,1.07,3.84,0.66,1.98,-2.48,1
2017-01-12,-0.0569066,30.150000000000038,0.0,2.7333333333333307,0.75,0.67,-0.99,-0.41,1.26,-0.34,0.36,1.84,0.22,0.54,0.78,-0.84,-0.03,1.24,0.35,0.37,0.17,-0.03,1.26,-0.77,-0.1,-9.94,52.1,9.82,11.54,11.54,0.51,0.51,0.0,0.5383408340554169,0.5351173048086779,0.0032235292467389,-0.77,-0.4,-0.28,3.08,1.09,-3.13,0.37,-1.12,-2.6,4.62,5.61,0.86,1.25,0.68,-0.89,1
2017-01-13,-0.0564833,-101.62,0.0,-12.000000000000004,0.86,1.11,-1.23,-0.22,0.57,-0.32,0.49,1.36,-0.1,0.67,1.03,-1.06,0.38,1.09,-0.54,0.48,-0.16,-0.14,1.16,-1.12,-0.61,-11.96,-1.42,7.07,11.23,11.23,0.5,0.51,-0.01,0.5342361646422114,0.5355895393723892,-0.0013533747301778,-0.42,1.59,-3.25,2.12,0.38,-3.31,1.23,-1.08,-2.49,3.09,5.62,0.35,-0.8,2.98,-1.3,1
2017-01-17,-0.0903081999999999,321.37,0.0,6.944444444444447,-0.99,0.75,-0.3,-0.34,-0.41,-0.49,0.22,0.36,0.16,-0.84,0.54,-0.34,0.35,-0.03,-0.4,-0.03,0.37,-0.01,0.54,0.26,-0.64,9.82,-9.94,7.82,11.87,11.87,0.48,0.51,-0.03,0.5191033019874751,0.5383408340554169,-0.0192375320679417,-0.28,-0.77,-1.81,-3.13,3.08,-0.77,-2.6,0.37,-0.73,0.86,4.62,1.0,-0.89,1.25,-0.59,1
2017-01-18,-0.0877909,92.40999999999995,0.0,1.6666666666666714,-1.23,0.86,-1.33,-0.32,-0.22,-1.07,-0.1,0.49,0.07,-1.06,0.67,-1.25,-0.54,0.38,-0.14,-0.14,0.48,-0.24,-0.1,1.26,0.7,7.07,-11.96,-23.86,12.48,12.48,0.51,0.51,0.0,0.5184046451463685,0.5342361646422114,-0.0158315194958428,-3.25,-0.42,-1.36,-3.31,2.12,-2.12,-2.49,1.23,-3.55,0.35,3.09,0.82,-1.3,-0.8,-1.21,1
2017-01-19,-0.0485293,-292.11,0.0,-12.077777777777785,-1.62,0.5,-0.81,-0.46,-0.47,-0.68,-0.4,0.64,0.31,-1.4,0.33,-0.76,-0.69,0.12,-0.22,-0.43,0.31,0.82,-0.61,1.16,1.0,37.75,-15.17,-15.38,12.78,12.78,0.53,0.5,0.03,0.5228388666923841,0.5150642704940941,0.00777459619829,-1.21,-1.32,0.15,-2.09,-1.22,-3.28,-2.62,-0.14,-1.89,-1.8,3.84,3.42,0.08,-2.48,-0.84,1
2017-01-20,-0.0462956,-245.67000000000007,0.0,-5.033333333333336,-0.3,-0.99,-0.47,-0.49,-0.34,-0.1,0.16,0.22,0.2,-0.34,-0.84,-0.4,-0.4,0.35,-0.08,-0.01,-0.03,1.3,-0.64,0.54,1.92,7.82,9.82,-9.84,11.54,11.54,0.55,0.48,0.07,0.5423589951272529,0.5191033019874751,0.0232556931397778,-1.81,-0.28,1.52,-0.77,-3.13,-6.38,-0.73,-2.6,-2.07,1.0,0.86,2.72,-0.59,-0.89,0.73,1
2017-01-23,-0.0706733999999999,-165.82999999999998,0.0,0.1999999999999957,-1.33,-1.23,0.14,-1.07,-0.32,0.15,0.07,-0.1,0.23,-1.25,-1.06,0.14,-0.14,-0.54,0.11,-0.24,-0.14,1.25,0.7,-0.1,0.57,-23.86,7.07,28.0,11.77,11.77,0.53,0.51,0.02,0.5247075395731547,0.5184046451463685,0.0063028944267862,-1.36,-3.25,3.5,-2.12,-3.31,-5.27,-3.55,-2.49,-0.36,0.82,0.35,0.02,-1.21,-1.3,2.74,1
2017-01-24,-0.0687369999999999,-93.06,0.0,6.577777777777783,-0.81,-1.62,0.48,-0.68,-0.46,0.5,0.31,-0.4,0.71,-0.76,-1.4,0.46,-0.22,-0.69,-0.03,0.82,-0.43,0.72,1.0,-0.61,0.41,-15.38,37.75,-9.66,11.07,11.07,0.53,0.53,0.0,0.5211406030461032,0.5228388666923841,-0.0016982636462808,0.15,-1.21,0.85,-3.28,-2.09,-3.01,-1.89,-2.62,-0.59,3.42,-1.8,0.14,-0.84,0.08,2.61,1
2017-01-25,-0.067679,-67.47999999999996,0.0,-20.21111111111111,-0.47,-0.3,-0.64,-0.1,-0.49,-0.28,0.2,0.16,0.77,-0.4,-0.34,-0.58,-0.08,-0.4,-0.59,1.3,-0.01,-0.76,1.92,-0.64,-1.61,-9.84,7.82,-16.09,10.81,10.81,0.55,0.55,0.0,0.5209658918890446,0.5423589951272529,-0.0213931032382083,1.52,-1.81,-3.23,-6.38,-0.77,1.58,-2.07,-0.73,-2.46,2.72,1.0,-1.67,0.73,-0.59,-0.97,1
