Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-02-03,-0.196054,27.550000000000068,0.0,-4.200000000000003,-0.14,-0.16,1.55,1.44,-1.04,1.61,2.3,1.22,1.6,0.13,-0.28,1.56,0.38,0.5,1.59,1.28,-0.02,1.72,1.06,0.16,1.43,-45.6,-8.96,-16.19,10.97,10.97,0.5374839892118578,0.5423589951272529,-0.0048750059153951,0.64,-3.34,3.56,-5.8,-2.51,2.01,-3.96,-3.14,-6.81,-2.78,10.36,3.21,1.21,-1.27,1.53,0
2017-02-10,-0.1664299999999999,202.55,0.0,4.824999999999996,1.03,-2.09,-0.21,2.88,-0.99,-0.68,2.2,0.83,0.83,1.36,-1.87,-0.28,1.83,-0.76,-0.21,0.63,0.85,1.44,0.79,0.8,0.47,-40.88,-13.59,0.0,10.85,10.85,0.5321441486070851,0.5391225513100576,-0.0069784027029724,-0.85,-1.98,-1.2,2.25,-9.94,2.6,-5.59,-6.02,-2.72,-2.02,3.36,2.11,-0.35,-0.26,5.54,0
2017-02-17,-0.0668459999999999,-152.54000000000002,0.0,0.8500000000000014,1.55,-0.14,1.02,1.61,1.44,0.94,1.6,2.3,0.78,1.56,0.13,0.97,1.59,0.38,0.18,1.72,1.28,0.68,1.43,1.06,0.25,-16.19,-45.6,4.55,11.49,11.49,0.5250010438532863,0.5374839892118578,-0.0124829453585715,3.56,0.64,-2.36,2.01,-5.8,2.12,-6.81,-3.96,4.05,3.21,-2.78,5.88,1.53,1.21,2.34,0
2017-02-24,0.0512889999999999,-5.659999999999968,0.0,3.500000000000004,-0.21,1.03,1.37,-0.68,2.88,2.01,0.83,2.2,0.89,-0.28,1.36,1.46,-0.21,1.83,0.93,1.44,0.63,0.28,0.47,0.79,-1.0,0.0,-40.88,3.19,11.47,11.47,0.5202756511105983,0.5321441486070851,-0.0118684974964868,-1.2,-0.85,2.63,2.6,2.25,0.49,-2.72,-5.59,5.28,2.11,-2.02,-5.17,5.54,-0.35,-0.74,0
2017-03-03,0.146029,-163.34,0.0,-5.424999999999997,1.02,1.55,0.69,0.94,1.61,1.12,0.78,1.6,1.34,0.97,1.56,0.77,0.18,1.59,1.08,0.68,1.72,0.76,0.25,1.43,1.97,4.55,-16.19,-7.61,10.96,10.96,0.5464701296827986,0.5250010438532863,0.0214690858295123,-2.36,3.56,-0.43,2.12,2.01,4.55,4.05,-6.81,-0.23,5.88,3.21,1.2,2.34,1.53,1.34,0
2017-03-10,0.204419,-81.85000000000002,0.0,5.625,1.37,-0.21,-0.09,2.01,-0.68,0.1,0.89,0.83,0.2,1.46,-0.28,-0.04,0.93,-0.21,0.37,0.28,1.44,-0.0,-1.0,0.47,2.56,3.19,0.0,70.1,11.66,11.66,0.5450747832649959,0.5202756511105983,0.0247991321543976,2.63,-1.2,-2.11,0.49,2.6,3.8,5.28,-2.72,-4.0,-5.17,2.11,2.96,-0.74,5.54,-1.04,0
2017-03-17,0.2037686,90.26000000000002,0.0,-6.950000000000003,0.69,1.02,-1.37,1.12,0.94,-0.64,1.34,0.78,0.23,0.77,0.97,-1.2,1.08,0.18,0.29,0.76,0.68,-0.5,1.97,0.25,-0.34,-7.61,4.55,50.59,11.28,11.28,0.5436872478986875,0.5464701296827986,-0.0027828817841111,-0.43,-2.36,-2.3,4.55,2.12,-1.56,-0.23,4.05,-1.18,1.2,5.88,-8.52,1.34,2.34,-4.36,0
2017-03-24,0.1875105,-32.44,0.0,-17.550000000000004,-0.09,1.37,0.17,0.1,2.01,1.31,0.2,0.89,1.81,-0.04,1.46,0.38,0.37,0.93,0.91,-0.0,0.28,-0.02,2.56,-1.0,-0.52,70.1,3.19,-30.91,12.96,12.96,0.5040554635752946,0.5450747832649959,-0.0410193196897012,-2.11,2.63,-5.13,3.8,0.49,-3.97,-4.0,5.28,4.11,2.96,-5.17,0.42,-1.04,-0.74,-6.68,0
2017-03-31,0.1707864,107.0,0.0,9.575,-1.37,0.69,-2.85,-0.64,1.12,2.04,0.23,1.34,1.85,-1.2,0.77,-1.94,0.29,1.08,0.35,-0.5,0.76,-0.63,-0.34,1.97,-0.55,50.59,-7.61,-17.19,12.37,12.37,0.5177721875302672,0.5436872478986875,-0.0259150603684202,-2.3,-0.43,-7.62,-1.56,4.55,-4.49,-1.18,-0.23,-3.53,-8.52,1.2,-4.63,-4.36,1.34,-2.19,0
2017-04-07,0.1110995,-38.22000000000003,0.0,18.825000000000003,0.17,-0.09,-1.98,1.31,0.1,2.01,1.81,0.2,3.13,0.38,-0.04,-1.19,0.91,0.37,1.85,-0.02,-0.0,1.78,-0.52,2.56,2.48,-30.91,70.1,-15.79,12.87,12.87,0.49888062634755,0.5040554635752946,-0.0051748372277446,-5.13,-2.11,-1.42,-3.97,3.8,-2.04,4.11,-4.0,-5.93,0.42,2.96,-5.43,-6.68,-1.04,9.81,0
