Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-01-20,-0.1179123,67.69999999999993,0.0,16.349999999999998,-1.9,1.77,-0.19,-1.2,0.17,0.22,-0.04,1.26,0.87,-1.74,1.49,-0.13,-0.42,0.92,-0.34,-0.31,0.29,1.16,-0.51,0.67,1.32,4.89,-13.21,-17.62,11.54,11.54,0.5423589951272529,0.5342361646422114,0.0081228304850415,-3.34,0.0,1.41,-4.03,1.59,-6.16,-3.79,0.68,-2.32,0.52,9.79,2.83,-1.48,0.21,1.24,1
2017-01-27,-0.095381,-311.04,0.0,4.425000000000001,-0.19,-1.9,0.05,0.22,-1.2,1.21,0.87,-0.04,1.41,-0.13,-1.74,0.26,-0.34,-0.42,0.72,1.16,-0.31,0.12,1.32,-0.51,-0.25,-17.62,4.89,-33.96,10.58,10.58,0.5391225513100576,0.5423589951272529,-0.0032364438171953,1.41,-3.34,-0.76,-6.16,-4.03,0.39,-2.32,-3.79,-1.68,2.83,0.52,-5.45,1.24,-1.48,-0.03,1
2017-02-03,-0.100673,338.59000000000003,0.0,-4.200000000000003,0.05,-0.19,0.98,1.21,0.22,1.65,1.41,0.87,0.78,0.26,-0.13,1.09,0.72,-0.34,1.1,0.12,1.16,0.51,-0.25,1.32,1.05,-33.96,-17.62,-10.48,10.97,10.97,0.5374839892118578,0.5391225513100576,-0.0016385620981997,-0.76,1.41,-0.09,0.39,-6.16,1.85,-1.68,-2.32,-3.97,-5.45,2.83,3.63,-0.03,1.24,-0.32,0
2017-02-10,-0.0657569999999999,-136.04000000000002,0.0,4.824999999999996,0.98,0.05,0.57,1.65,1.21,-0.04,0.78,1.41,0.82,1.09,0.26,0.47,1.1,0.72,0.48,0.51,0.12,1.2,1.05,-0.25,0.38,-10.48,-33.96,-6.38,10.85,10.85,0.5321441486070851,0.5374839892118578,-0.0053398406047726,-0.09,-0.76,3.65,1.85,0.39,0.15,-3.97,-1.68,-2.96,3.63,-5.45,-0.4,-0.32,-0.03,1.86,0
2017-02-17,-0.001089,-16.5,0.0,0.8500000000000014,0.57,0.98,-0.77,-0.04,1.65,-0.64,0.82,0.78,0.01,0.47,1.09,-0.75,0.48,1.1,-0.69,1.2,0.51,0.23,0.38,1.05,0.09,-6.38,-10.48,6.82,11.49,11.49,0.5250010438532863,0.5321441486070851,-0.0071431047537988,3.65,-0.09,-4.68,0.15,1.85,2.45,-2.96,-3.97,0.25,-0.4,3.63,2.52,1.86,-0.32,3.62,0
2017-02-24,0.0523779999999999,10.840000000000032,0.0,3.500000000000004,-0.77,0.57,1.8,-0.64,-0.04,1.58,0.01,0.82,0.77,-0.75,0.47,1.73,-0.69,0.48,0.88,0.23,1.2,0.44,0.09,0.38,0.16,6.82,-6.38,-2.13,11.47,11.47,0.5202756511105983,0.5250010438532863,-0.004725392742688,-4.68,3.65,2.43,2.45,0.15,-0.32,0.25,-2.96,3.79,2.52,-0.4,3.28,3.62,1.86,-1.24,0
2017-03-03,0.093651,-174.18000000000004,0.0,-5.424999999999997,1.8,-0.77,-0.42,1.58,-0.64,0.42,0.77,0.01,0.12,1.73,-0.75,-0.27,0.88,-0.69,0.05,0.44,0.23,-0.17,0.16,0.09,-1.16,-2.13,6.82,5.43,10.96,10.96,0.5464701296827986,0.5202756511105983,0.0261944785722003,2.43,-4.68,0.19,-0.32,2.45,0.82,3.79,0.25,1.43,3.28,2.52,-8.19,-1.24,3.62,0.5,0
2017-03-10,0.1107679999999999,92.33,0.0,5.625,-0.42,1.8,1.12,0.42,1.58,0.7,0.12,0.77,1.22,-0.27,1.73,1.05,0.05,0.88,1.03,-0.17,0.44,0.93,-1.16,0.16,3.16,5.43,-2.13,-12.37,11.66,11.66,0.5450747832649959,0.5464701296827986,-0.0013953464178027,0.19,2.43,-0.63,0.82,-0.32,3.7,1.43,3.79,-1.64,-8.19,3.28,10.22,0.5,-1.24,0.84,0
2017-03-17,0.0930005999999999,-2.069999999999993,0.0,-6.950000000000003,1.12,-0.42,-1.19,0.7,0.42,-0.6,1.22,0.12,-1.01,1.05,-0.27,-1.07,1.03,0.05,-0.65,0.93,-0.17,-0.93,3.16,-1.16,-0.58,-12.37,5.43,94.12,11.28,11.28,0.5436872478986875,0.5450747832649959,-0.0013875353663084,-0.63,0.19,-1.5,3.7,0.82,0.09,-1.64,1.43,-2.41,10.22,-8.19,-6.59,0.84,0.5,-1.86,0
2017-03-24,0.0945099,-30.370000000000005,0.0,-17.550000000000004,-1.19,1.12,-0.19,-0.6,0.7,-0.05,-1.01,1.22,1.26,-1.07,1.05,-0.13,-0.65,1.03,0.95,-0.93,0.93,0.43,-0.58,3.16,0.25,94.12,-12.37,-22.42,12.96,12.96,0.5040554635752946,0.5436872478986875,-0.0396317843233928,-1.5,-0.63,-0.82,0.09,3.7,-1.65,-2.41,-1.64,1.26,-6.59,10.22,-2.06,-1.86,0.84,-2.55,0
