Date,Rolling_Avg_Change_in_DCC
2017-01-03,
2017-01-04,-47.9
2017-01-05,-14.499999999999998
2017-01-06,15.949999999999998
2017-01-09,-1.0900000000000016
2017-01-10,6.973333333333334
2017-01-11,-2.019047619047621
2017-01-12,2.2232142857142847
2017-01-13,-3.7597222222222237
2017-01-16,4.4222222222222225
2017-01-17,3.5727272727272728
2017-01-18,0.7522727272727271
2017-01-19,1.2980769230769234
2017-01-20,1.8054945054945046
2017-01-23,-0.495238095238095
2017-01-24,2.0854166666666667
2017-01-25,-3.8716911764705877
2017-01-26,-2.1303921568627446
2017-01-27,-1.579824561403509
2017-01-30,0.488157894736842
2017-01-31,1.9552500000000002
2017-02-01,1.7845000000000006
2017-02-02,2.6107500000000003
2017-02-03,-1.6929999999999996
2017-02-06,1.4552500000000008
2017-02-07,-1.9755833333333328
2017-02-08,1.110214285714287
2017-02-09,-1.9638749999999991
2017-02-10,0.17438888888889004
2017-02-13,-2.2227499999999996
2017-02-14,-3.424863636363635
2017-02-15,1.0807500000000008
2017-02-16,-0.559596153846153
2017-02-17,0.32042857142857245
2017-02-20,1.4966666666666673
2017-02-21,-1.0000624999999992
2017-02-22,3.8338529411764704
2017-02-23,3.083083333333334
2017-02-24,1.1955921052631584
2017-02-27,0.6325000000000006
2017-02-28,-2.1104999999999996
2017-03-01,-0.19200000000000017
2017-03-02,-2.2329999999999997
2017-03-03,0.6305000000000003
2017-03-06,-1.8507500000000003
2017-03-07,0.21224999999999988
2017-03-08,-1.241
2017-03-09,-0.38325
2017-03-10,2.5515
2017-03-13,0.5822500000000002
2017-03-14,0.7169999999999994
2017-03-15,-3.9802499999999994
2017-03-16,0.764
2017-03-17,-0.1559999999999988
2017-03-20,-1.208749999999999
2017-03-21,-1.0392499999999998
2017-03-22,0.6360000000000013
2017-03-23,-1.6732500000000001
2017-03-24,-1.8257499999999987
2017-03-27,-2.604249999999999
2017-03-28,-0.8184999999999991
2017-03-29,2.4787500000000007
2017-03-30,2.454000000000001
2017-03-31,-1.2654999999999994
2017-04-03,-0.21024999999999922
2017-04-04,1.0965000000000011
2017-04-05,1.9955000000000005
2017-04-06,1.985250000000001
2017-04-07,-1.1657499999999992
2017-04-10,0.3717500000000008
2017-04-11,2.2565000000000017
2017-04-12,2.5775000000000006
2017-04-13,-0.7439999999999991
2017-04-18,-1.2472499999999997
2017-04-19,1.3075000000000003
2017-04-20,0.8600000000000015
2017-04-21,-0.4437499999999993
2017-04-24,-1.4187499999999986
2017-04-25,1.8875
2017-04-26,1.6377500000000005
2017-04-27,1.2867500000000003
2017-04-28,-1.3465000000000003
2017-05-02,-1.7702499999999994
2017-05-03,-3.3204999999999982
2017-05-04,-2.121499999999999
2017-05-05,-4.1522499999999996
2017-05-08,-2.5774999999999997
2017-05-09,-1.1692499999999995
2017-05-10,-0.023749999999999716
2017-05-11,-1.960249999999999
2017-05-12,-0.495999999999999
2017-05-15,1.6805000000000014
2017-05-16,0.9737500000000011
2017-05-17,1.4580000000000006
2017-05-18,-2.048749999999999
2017-05-19,1.0102500000000003
2017-05-22,0.42525000000000085
2017-05-23,0.5912500000000008
2017-05-24,0.9742500000000014
2017-05-25,-2.4179999999999993
2017-05-26,-3.098999999999999
2017-05-30,0.5255000000000016
2017-05-31,-1.0864999999999996
2017-06-01,4.73325
2017-06-02,3.5620000000000003
2017-06-05,4.7515
2017-06-06,2.9590000000000014
2017-06-07,0.5202500000000011
2017-06-08,0.43400000000000033
2017-06-09,-0.023499999999999587
2017-06-12,0.4800000000000001
2017-06-13,-0.6274999999999992
2017-06-14,-1.2950000000000004
2017-06-15,-1.9614999999999991
2017-06-16,2.0962500000000013
2017-06-19,-3.0774999999999997
2017-06-20,-0.27049999999999946
2017-06-21,0.9257500000000007
2017-06-22,-0.5195000000000001
2017-06-23,3.811000000000001
2017-06-26,3.842000000000001
2017-06-27,0.03500000000000014
2017-06-28,2.5197500000000006
2017-06-29,-0.46599999999999897
2017-06-30,0.2252500000000019
2017-07-03,-0.8387499999999996
2017-07-04,-0.6934999999999996
2017-07-05,1.0162499999999999
2017-07-06,-0.4999999999999979
2017-07-07,1.791250000000001
2017-07-10,-1.4902499999999996
2017-07-11,-1.1150000000000007
2017-07-12,-0.8342499999999979
2017-07-13,-1.3287499999999999
2017-07-14,-1.3545000000000003
2017-07-17,-1.2257499999999992
2017-07-18,-4.522999999999999
2017-07-19,0.5049999999999997
2017-07-20,-0.01349999999999909
2017-07-21,-0.9197499999999991
2017-07-24,-1.6879999999999995
2017-07-25,-0.5317499999999982
2017-07-26,-1.0334999999999988
2017-07-27,-1.132499999999999
2017-07-28,-0.9250000000000007
2017-07-31,-2.4437499999999988
2017-08-01,-2.031749999999999
2017-08-02,0.4827500000000008
2017-08-03,-0.2782500000000002
2017-08-04,-1.4902499999999996
2017-08-07,-0.5784999999999986
2017-08-08,1.5390000000000015
2017-08-09,1.5797500000000007
2017-08-10,0.7172500000000017
2017-08-11,1.6130000000000009
2017-08-14,3.8322500000000006
2017-08-15,1.901000000000001
2017-08-16,0.005750000000001876
2017-08-17,-3.005499999999999
2017-08-18,-0.5917499999999997
2017-08-21,1.037250000000001
2017-08-22,0.8249999999999993
2017-08-23,-0.6787500000000002
2017-08-24,0.08750000000000072
2017-08-25,0.7132500000000007
2017-08-29,2.96925
2017-08-30,0.7190000000000005
2017-08-31,-1.1109999999999984
2017-09-01,0.47525000000000084
2017-09-04,2.3805000000000014
2017-09-05,1.9225000000000005
2017-09-06,-0.3662499999999994
2017-09-07,0.5902500000000004
