Date,SWAV,SWAV_lagged,Change in SWAV
2017-01-03,27784.810999999998,89071.105,-61286.293999999994
2017-01-04,12691.657,128864.414,-116172.75700000001
2017-01-05,18180.4,93541.73999999999,-75361.34
2017-01-06,26144.784,132215.95500000002,-106071.17100000002
2017-01-09,6787.902,100421.576,-93633.674
2017-01-10,12903.428,98204.247,-85300.819
2017-01-11,10477.474,102114.351,-91636.877
2017-01-12,26703.369,151791.422,-125088.05299999999
2017-01-13,22385.553,141152.635,-118767.08200000001
2017-01-16,5484.481,114527.648,-109043.167
2017-01-17,22388.643,114610.63100000001,-92221.98800000001
2017-01-18,4432.240000000001,122408.97099999999,-117976.73099999999
2017-01-19,2841.5632,143662.065,-140820.5018
2017-01-20,11790.486,97279.713,-85489.227
2017-01-23,24093.16,116463.699,-92370.53899999999
2017-01-24,4252.312,75838.844,-71586.53199999999
2017-01-25,23165.925,85001.34999999999,-61835.42499999999
2017-01-26,19358.339,128273.55799999999,-108915.21899999998
2017-01-27,15900.539999999999,139638.855,-123738.31500000002
2017-01-30,8133.9839999999995,128926.68699999999,-120792.703
2017-01-31,11788.094,107463.068,-95674.974
2017-02-01,8129.836,112088.95200000002,-103959.11600000002
2017-02-02,16396.923,154597.014,-138200.091
2017-02-03,17677.967,166149.747,-148471.78
2017-02-06,3618.67,170902.7,-167284.03
2017-02-07,11990.975999999999,132379.829,-120388.853
2017-02-08,7064.19,109004.21900000001,-101940.02900000001
2017-02-09,25691.673,159821.664,-134129.99099999998
2017-02-10,31653.203999999998,154081.017,-122427.813
2017-02-13,6225.549999999999,130910.243,-124684.693
2017-02-14,12848.439,152122.71000000002,-139274.271
2017-02-15,30264.96,110075.20330000001,-79810.2433
2017-02-16,13381.554,150565.563,-137184.009
2017-02-17,23824.072,193053.582,-169229.51
2017-02-20,8844.94,121135.405,-112290.465
2017-02-21,29350.475,115837.636,-86487.161
2017-02-22,15386.767,120898.366,-105511.59899999999
2017-02-23,16793.473,146748.186,-129954.71299999999
2017-02-24,21531.433,159883.171,-138351.738
2017-02-27,1949.3795,135060.25699999998,-133110.87749999997
2017-02-28,28756.775999999998,127503.13399999999,-98746.358
2017-03-01,23730.980000000003,134654.55599999998,-110923.57599999997
2017-03-02,26120.608,169688.236,-143567.628
2017-03-03,26566.958,186653.58099999998,-160086.62299999996
2017-03-06,32413.523999999998,167555.03499999997,-135141.51099999997
2017-03-07,26245.724,150408.494,-124162.77
2017-03-08,21660.67,120605.805,-98945.135
2017-03-09,22322.232000000004,171710.52099999998,-149388.289
2017-03-10,33020.273,137160.45,-104140.17700000001
2017-03-13,18007.272,123051.8798,-105044.6078
2017-03-14,7469.28,167890.76499999998,-160421.485
2017-03-15,12188.406,147026.42599999998,-134838.02
2017-03-16,27052.117,167275.282,-140223.165
2017-03-17,27143.324,110831.552,-83688.228
2017-03-20,29190.854,163367.474,-134176.62
2017-03-21,16428.942,157714.21899999998,-141285.27699999997
2017-03-22,12341.973,153558.165,-141216.192
2017-03-23,26962.748,136805.217,-109842.46900000001
2017-03-24,31852.197,175147.63900000002,-143295.44200000004
2017-03-27,19996.935,132416.299,-112419.364
2017-03-28,28769.424,112432.1984,-83662.7744
2017-03-29,24107.544,159342.16100000002,-135234.61700000003
2017-03-30,19516.728,161605.209,-142088.481
2017-03-31,20699.892,177248.06999999998,-156548.17799999999
2017-04-03,12110.33,166880.163,-154769.833
2017-04-04,24124.392,168771.725,-144647.333
2017-04-05,15628.280999999999,124579.318,-108951.037
2017-04-06,5321.544000000001,159816.259,-154494.715
2017-04-07,12913.395,127923.996,-115010.601
2017-04-10,15861.825,123007.79500000001,-107145.97000000002
2017-04-11,2302.1603999999998,140913.009,-138610.8486
2017-04-12,24890.88,133973.97300000006,-109083.09300000005
2017-04-13,23650.249,155776.67100000006,-132126.42200000005
2017-04-18,21953.208,100067.6326,-78114.4246
2017-04-19,22172.905,118108.11179999996,-95935.20679999996
2017-04-20,14603.766,136052.53500000006,-121448.76900000006
2017-04-21,20631.93,153151.29599999991,-132519.36599999992
2017-04-24,17384.703999999998,156111.751,-138727.047
2017-04-25,19935.309,121901.94099999999,-101966.63199999998
2017-04-26,19787.075,163398.30999999994,-143611.23499999993
2017-04-27,20061.36,138222.83000000002,-118161.47000000002
2017-04-28,17620.74,124754.58099999999,-107133.84099999999
2017-05-02,29014.848,164325.75699999998,-135310.90899999999
2017-05-03,29297.674,167554.65499999997,-138256.98099999997
2017-05-04,14462.909,168297.92500000002,-153835.016
2017-05-05,14664.98,146706.302,-132041.322
2017-05-08,9133.92,116204.226,-107070.306
2017-05-09,18848.57,153977.604,-135129.03399999999
2017-05-10,33438.456,127081.748,-93643.29200000002
2017-05-11,22078.285999999996,148894.22600000002,-126815.94000000003
2017-05-12,2743.7183999999997,153660.4515,-150916.73309999998
2017-05-15,13470.864000000001,123164.55799999999,-109693.69399999999
2017-05-16,36961.539,135308.98799999998,-98347.449
2017-05-17,34180.125,145902.634,-111722.50899999999
2017-05-18,14502.170999999998,156424.47400000002,-141922.303
2017-05-19,27910.058,114415.82710000001,-86505.7691
2017-05-22,23797.682999999997,176487.802,-152690.119
2017-05-23,4978.008000000001,174103.30599999998,-169125.29799999998
2017-05-24,25400.760000000002,119298.243,-93897.48300000001
2017-05-25,28645.98,151290.151,-122644.17100000002
2017-05-26,30127.746000000003,201926.4,-171798.65399999998
2017-05-30,6210.27,138312.705,-132102.435
2017-05-31,17966.634,184011.227,-166044.59300000002
2017-06-01,17112.501,117868.62299999999,-100756.12199999999
