Date,EPU Index,Previous EPU Index,EPU_Change
2017-07-03,501.41,334.18,167.23000000000002
2017-07-04,439.32,800.28,-360.96
2017-07-05,340.25,501.41,-161.16000000000003
2017-07-06,359.53,439.32,-79.79000000000002
2017-07-07,473.18,340.25,132.93
2017-07-10,360.65,359.53,1.1200000000000045
2017-07-11,329.99,473.18,-143.19
2017-07-12,645.37,360.65,284.72
2017-07-13,272.37,329.99,-57.620000000000005
2017-07-14,427.12,645.37,-218.25
2017-07-17,280.66,272.37,8.29000000000002
2017-07-18,596.69,427.12,169.57000000000005
2017-07-19,372.28,280.66,91.61999999999995
2017-07-20,137.0,596.69,-459.69000000000005
2017-07-21,363.85,372.28,-8.42999999999995
2017-07-24,283.15,137.0,146.14999999999998
2017-07-25,600.84,363.85,236.99
2017-07-26,659.92,283.15,376.77
2017-07-27,432.97,600.84,-167.87
2017-07-28,407.01,659.92,-252.90999999999997
2017-07-31,519.03,432.97,86.05999999999995
2017-08-01,565.17,407.01,158.15999999999997
2017-08-02,444.27,519.03,-74.75999999999999
2017-08-03,311.12,565.17,-254.04999999999995
2017-08-04,679.48,444.27,235.21000000000004
2017-08-07,276.01,311.12,-35.110000000000014
2017-08-08,429.44,679.48,-250.04000000000002
2017-08-09,370.35,276.01,94.34000000000003
2017-08-10,311.87,429.44,-117.57
2017-08-11,356.56,370.35,-13.79000000000002
2017-08-14,441.4,311.87,129.52999999999997
2017-08-15,513.01,356.56,156.45
2017-08-16,538.18,441.4,96.77999999999997
2017-08-17,460.02,513.01,-52.99000000000001
2017-08-18,221.94,538.18,-316.23999999999995
2017-08-21,112.98,460.02,-347.03999999999996
2017-08-22,206.6,221.94,-15.340000000000003
2017-08-23,281.68,112.98,168.7
2017-08-24,462.4,206.6,255.79999999999998
2017-08-25,393.43,281.68,111.75
2017-08-29,451.78,462.4,-10.620000000000005
2017-08-30,237.53,393.43,-155.9
2017-08-31,224.24,451.78,-227.53999999999996
2017-09-01,386.08,237.53,148.54999999999998
2017-09-04,293.21,224.24,68.96999999999997
2017-09-05,635.77,386.08,249.69
2017-09-06,580.68,293.21,287.46999999999997
2017-09-07,555.67,635.77,-80.10000000000002
2017-09-08,775.55,580.68,194.87
2017-09-11,282.63,555.67,-273.03999999999996
2017-09-12,344.97,775.55,-430.5799999999999
2017-09-13,548.3,282.63,265.66999999999996
2017-09-14,595.19,344.97,250.22000000000003
2017-09-15,407.0,548.3,-141.29999999999995
2017-09-18,214.41,595.19,-380.7800000000001
2017-09-19,403.04,407.0,-3.9599999999999795
2017-09-20,546.86,214.41,332.45000000000005
2017-09-21,179.97,403.04,-223.07000000000002
2017-09-22,356.71,546.86,-190.15000000000003
2017-09-25,274.16,179.97,94.19000000000003
2017-09-26,381.57,356.71,24.860000000000014
2017-09-27,726.58,274.16,452.42
2017-09-28,350.86,381.57,-30.70999999999998
2017-09-29,281.65,726.58,-444.93000000000006
2017-10-02,479.54,350.86,128.68
2017-10-03,433.19,281.65,151.54000000000002
2017-10-04,433.13,479.54,-46.410000000000025
2017-10-05,683.51,433.19,250.32
2017-10-06,302.99,433.13,-130.14
2017-10-09,253.04,683.51,-430.47
2017-10-10,560.69,302.99,257.70000000000005
2017-10-11,486.57,253.04,233.53
2017-10-12,454.68,560.69,-106.01000000000005
2017-10-13,536.49,486.57,49.920000000000016
2017-10-16,339.6,454.68,-115.07999999999998
2017-10-17,487.85,536.49,-48.639999999999986
2017-10-18,363.88,339.6,24.279999999999973
2017-10-19,429.12,487.85,-58.73000000000002
2017-10-20,316.87,363.88,-47.00999999999999
2017-10-23,534.43,429.12,105.30999999999995
2017-10-24,469.88,316.87,153.01
2017-10-25,406.51,534.43,-127.91999999999996
2017-10-26,322.04,469.88,-147.83999999999997
2017-10-27,211.81,406.51,-194.7
2017-10-30,308.52,322.04,-13.520000000000039
2017-10-31,429.71,211.81,217.89999999999998
2017-11-01,259.84,308.52,-48.68000000000001
2017-11-02,531.47,429.71,101.76000000000005
2017-11-03,729.61,259.84,469.77000000000004
2017-11-06,16.37,531.47,-515.1
2017-11-07,534.6,729.61,-195.01
2017-11-08,305.15,16.37,288.78
2017-11-09,358.87,534.6,-175.73000000000002
2017-11-10,372.69,305.15,67.54000000000002
2017-11-13,596.37,358.87,237.5
2017-11-14,751.12,372.69,378.43
2017-11-15,415.46,596.37,-180.91000000000003
2017-11-16,416.29,751.12,-334.83
2017-11-17,297.56,415.46,-117.89999999999998
2017-11-20,496.5,416.29,80.20999999999998
2017-11-21,823.34,297.56,525.78
2017-11-22,846.25,496.5,349.75
2017-11-23,773.23,823.34,-50.110000000000014
2017-11-24,554.79,846.25,-291.46000000000004
2017-11-27,254.62,773.23,-518.61
2017-11-28,477.12,554.79,-77.66999999999996
2017-11-29,694.44,254.62,439.82000000000005
2017-11-30,278.86,477.12,-198.26
2017-12-01,256.19,694.44,-438.25000000000006
2017-12-04,581.49,278.86,302.63
2017-12-05,278.58,256.19,22.389999999999986
2017-12-06,430.02,581.49,-151.47000000000003
2017-12-07,307.77,278.58,29.189999999999998
2017-12-08,459.5,430.02,29.480000000000018
2017-12-11,485.87,307.77,178.10000000000002
2017-12-12,403.86,459.5,-55.639999999999986
2017-12-13,399.11,485.87,-86.75999999999999
2017-12-14,483.62,403.86,79.75999999999999
2017-12-15,715.71,399.11,316.6
2017-12-18,257.27,483.62,-226.35000000000002
2017-12-19,438.56,715.71,-277.15000000000003
2017-12-20,492.49,257.27,235.22000000000003
2017-12-21,305.08,438.56,-133.48000000000002
2017-12-22,331.16,492.49,-161.32999999999998
2017-12-27,420.48,305.08,115.40000000000003
2017-12-28,331.92,331.16,0.7599999999999909
2017-12-29,271.21,420.48,-149.27000000000004
2018-01-02,395.18,331.92,63.25999999999999
2018-01-03,524.09,271.21,252.88000000000005
2018-01-04,250.91,395.18,-144.27
2018-01-05,515.99,524.09,-8.100000000000023
2018-01-08,380.61,250.91,129.70000000000002
2018-01-09,417.46,515.99,-98.53000000000003
2018-01-10,469.76,380.61,89.14999999999998
2018-01-11,383.06,417.46,-34.39999999999998
2018-01-12,483.02,469.76,13.259999999999991
2018-01-15,133.0,383.06,-250.06
2018-01-16,211.43,483.02,-271.59
2018-01-17,515.98,133.0,382.98
2018-01-18,436.01,211.43,224.57999999999998
2018-01-19,238.15,515.98,-277.83000000000004
2018-01-22,283.06,436.01,-152.95
2018-01-23,550.51,238.15,312.36
2018-01-24,263.83,283.06,-19.230000000000018
2018-01-25,217.94,550.51,-332.57
2018-01-26,354.58,263.83,90.75
2018-01-29,478.58,217.94,260.64
2018-01-30,277.63,354.58,-76.94999999999999
2018-01-31,412.95,478.58,-65.63
2018-02-01,202.48,277.63,-75.15
2018-02-02,286.08,412.95,-126.87
2018-02-05,493.29,202.48,290.81000000000006
2018-02-06,194.47,286.08,-91.60999999999999
2018-02-07,195.94,493.29,-297.35
2018-02-08,301.43,194.47,106.96000000000001
2018-02-09,222.4,195.94,26.460000000000008
2018-02-12,87.12,301.43,-214.31
2018-02-13,288.63,222.4,66.22999999999999
2018-02-14,243.55,87.12,156.43
2018-02-15,204.69,288.63,-83.94
2018-02-16,157.33,243.55,-86.22
2018-02-19,283.67,204.69,78.98000000000002
2018-02-20,184.04,157.33,26.70999999999998
2018-02-21,183.37,283.67,-100.30000000000001
2018-02-22,332.58,184.04,148.54
2018-02-23,341.19,183.37,157.82
2018-02-26,217.61,332.58,-114.96999999999997
2018-02-27,144.24,341.19,-196.95
2018-02-28,251.47,217.61,33.859999999999985
2018-03-01,449.45,144.24,305.21
2018-03-02,479.68,251.47,228.21
2018-03-05,262.68,449.45,-186.76999999999998
2018-03-06,618.48,479.68,138.8
2018-03-07,353.45,262.68,90.76999999999998
2018-03-08,286.44,618.48,-332.04
2018-03-09,438.28,353.45,84.82999999999998
2018-03-12,270.06,286.44,-16.379999999999995
2018-03-13,568.39,438.28,130.11
2018-03-14,734.79,270.06,464.72999999999996
2018-03-15,410.49,568.39,-157.89999999999998
2018-03-16,366.43,734.79,-368.35999999999996
2018-03-19,228.66,410.49,-181.83
2018-03-20,330.56,366.43,-35.870000000000005
2018-03-21,358.35,228.66,129.69000000000003
2018-03-22,315.85,330.56,-14.70999999999998
2018-03-23,303.48,358.35,-54.870000000000005
2018-03-26,257.51,315.85,-58.34000000000003
2018-03-27,392.79,303.48,89.31
2018-03-28,217.26,257.51,-40.25
2018-03-29,298.67,392.79,-94.12
2018-04-03,161.94,217.26,-55.31999999999999
2018-04-04,192.97,298.67,-105.70000000000002
2018-04-05,225.16,161.94,63.22
2018-04-06,432.27,192.97,239.29999999999998
2018-04-09,173.53,225.16,-51.629999999999995
2018-04-10,284.53,432.27,-147.74
2018-04-11,319.48,173.53,145.95000000000002
2018-04-12,127.49,284.53,-157.03999999999996
2018-04-13,464.73,319.48,145.25
2018-04-16,305.74,127.49,178.25
2018-04-17,285.21,464.73,-179.52000000000004
2018-04-18,286.16,305.74,-19.579999999999984
2018-04-19,339.49,285.21,54.28000000000003
2018-04-20,253.07,286.16,-33.09000000000003
2018-04-23,189.91,339.49,-149.58
2018-04-24,171.86,253.07,-81.20999999999998
2018-04-25,232.21,189.91,42.30000000000001
2018-04-26,80.75,171.86,-91.11000000000001
