Date,% downloaded_hold_Barc Change,Previous % downloaded_hold_Barc Change,Next % downloaded_hold_Barc Change
2023-11-24,4.47,4.94,-0.31
2023-11-27,2.53,4.65,0.31
2023-11-28,1.2,5.21,-1.59
2023-11-29,0.3,8.15,0.19
2023-11-30,1.44,4.35,-0.07
2023-12-01,-0.31,4.74,1.16
2023-12-04,0.31,4.58,1.64
2023-12-05,-1.59,4.04,1.11
2023-12-06,0.19,2.91,0.56
2023-12-07,-0.07,2.38,6.35
2023-12-08,1.16,4.47,3.01
2023-12-11,1.64,2.53,2.46
2023-12-12,1.11,1.2,5.88
2023-12-13,0.56,0.3,8.13
2023-12-14,6.35,1.44,8.05
2023-12-15,3.01,-0.31,5.93
2023-12-18,2.46,0.31,7.83
2023-12-19,5.88,-1.59,8.34
2023-12-20,8.13,0.19,9.0
