Date,% Voda Change,Previous % Voda Change,Next % Voda Change
2020-02-07,-2.21,3.2,1.2
2020-02-14,0.5,-3.29,-10.45
2020-02-21,1.2,-2.21,-11.79
2020-02-28,-10.45,0.5,-21.81
2020-03-06,-11.79,1.2,-17.64
2020-03-13,-21.81,-10.45,10.49
2020-03-20,-17.64,-11.79,-1.33
2020-03-27,10.49,-21.81,-6.2
2020-04-03,-1.33,-17.64,-1.53
2020-04-17,-6.2,10.49,1.38
2020-04-24,-1.53,-1.33,10.67
2020-05-01,1.38,-6.2,17.77
2020-05-15,10.67,-1.53,9.95
2020-05-22,17.77,1.38,6.89
2020-05-29,9.95,10.67,-5.2
2020-06-05,6.89,17.77,-8.06
2020-06-12,-5.2,9.95,-0.68
2020-06-19,-8.06,6.89,1.47
2020-06-26,-0.68,-5.2,-1.45
2020-07-03,1.47,-8.06,0.12
2020-07-10,-1.45,-0.68,-1.02
2020-07-17,0.12,1.47,-10.97
2020-07-24,-1.02,-1.45,-4.44
2020-07-31,-10.97,0.12,2.7
2020-08-07,-4.44,-1.02,-2.12
2020-08-14,2.7,-10.97,-6.1
2020-08-21,-2.12,-4.44,-7.88
2020-08-28,-6.1,2.7,-1.09
2020-09-04,-7.88,-2.12,2.28
2020-09-11,-1.09,-6.1,-5.82
2020-09-18,2.28,-7.88,-4.5
2020-09-25,-5.82,-1.09,7.09
2020-10-02,-4.5,2.28,6.36
2020-10-09,7.09,-5.82,1.3
2020-10-16,6.36,-4.5,-5.82
2020-10-23,1.3,7.09,-6.71
2020-10-30,-5.82,6.36,16.04
2020-11-06,-6.71,1.3,17.27
2020-11-13,16.04,-5.82,4.5
2020-11-20,17.27,-6.71,5.67
2020-11-27,4.5,16.04,4.87
2020-12-04,5.67,17.27,-3.21
2020-12-11,4.87,4.5,-1.94
2020-12-18,-3.21,5.67,0.98
2021-01-08,-1.94,4.87,-0.86
2021-01-15,0.98,-3.21,-1.87
2021-01-22,-0.86,-1.94,5.29
2021-01-29,-1.87,0.98,7.27
2021-02-05,5.29,-0.86,-2.18
2021-02-12,7.27,-1.87,-8.89
2021-02-19,-2.18,5.29,-5.03
2021-02-26,-8.89,7.27,8.85
2021-03-05,-5.03,-2.18,7.53
2021-03-12,8.85,-8.89,1.93
2021-03-19,7.53,-5.03,0.52
2021-03-26,1.93,8.85,-0.15
2021-04-09,0.52,7.53,-0.79
2021-04-16,-0.15,1.93,1.2
2021-04-23,-0.79,0.52,6.17
2021-04-30,1.2,-0.15,2.87
2021-05-07,6.17,-0.79,-10.11
2021-05-14,2.87,1.2,-8.83
2021-05-21,-10.11,6.17,0.36
2021-05-28,-8.83,2.87,1.2
2021-06-04,0.36,-10.11,-0.2
2021-06-11,1.2,-8.83,-5.27
2021-06-18,-0.2,0.36,-4.56
2021-06-25,-5.27,1.2,-3.54
2021-07-02,-4.56,-0.2,-4.32
2021-07-09,-3.54,-5.27,0.17
2021-07-16,-4.32,-4.56,-0.36
2021-07-23,0.17,-3.54,-0.15
2021-07-30,-0.36,-4.32,3.55
2021-08-06,-0.15,0.17,3.39
2021-08-13,3.55,-0.36,2.03
2021-08-20,3.39,-0.15,-1.52
2021-08-27,2.03,3.55,-4.87
2021-09-03,-1.52,3.39,-5.38
2021-09-10,-4.87,2.03,-2.54
2021-09-17,-5.38,-1.52,-1.85
2021-09-24,-2.54,-4.87,-1.49
2021-10-01,-1.85,-5.38,-1.57
2021-10-08,-1.49,-2.54,-1.14
2021-10-15,-1.57,-1.85,-2.17
2021-10-22,-1.14,-1.49,0.49
2021-10-29,-2.17,-1.57,5.11
2021-11-05,0.49,-1.14,2.03
2021-11-12,5.11,-2.17,-3.47
2021-11-19,2.03,0.49,-2.85
2021-11-26,-3.47,5.11,3.27
2021-12-03,-2.85,2.03,3.52
2021-12-10,3.27,-3.47,-0.58
2021-12-17,3.52,-2.85,-1.75
2021-12-24,-0.58,3.27,1.83
2021-12-31,-1.75,3.52,5.36
2022-01-07,1.83,-0.58,2.57
2022-01-14,5.36,-1.75,7.9
2022-01-21,2.57,1.83,14.19
2022-01-28,7.9,5.36,8.84
2022-02-04,14.19,2.57,2.5
2022-02-11,8.84,7.9,-3.83
2022-02-18,2.5,14.19,-10.26
