Date,% BP Change,Previous % BP Change,Next % BP Change
2020-02-07,-3.31,-1.85,-3.5
2020-02-14,0.03,-8.0,-13.29
2020-02-21,-3.5,-3.31,-12.87
2020-02-28,-13.29,0.03,-30.25
2020-03-06,-12.87,-3.5,-36.31
2020-03-13,-30.25,-13.29,10.57
2020-03-20,-36.31,-12.87,34.01
2020-03-27,10.57,-30.25,-0.64
2020-04-03,34.01,-36.31,-8.51
2020-04-17,-0.64,10.57,-1.55
2020-04-24,-8.51,34.01,-3.92
2020-05-01,-1.55,-0.64,3.73
2020-05-15,-3.92,-8.51,3.12
2020-05-22,3.73,-1.55,16.85
2020-05-29,3.12,-3.92,5.66
2020-06-05,16.85,3.73,-11.26
2020-06-12,5.66,3.12,-5.71
2020-06-19,-11.26,16.85,-4.32
2020-06-26,-5.71,5.66,-4.53
2020-07-03,-4.32,-11.26,0.57
2020-07-10,-4.53,-5.71,2.51
2020-07-17,0.57,-4.32,-11.04
2020-07-24,2.51,-4.53,-3.64
2020-07-31,-11.04,0.57,6.36
2020-08-07,-3.64,2.51,-4.84
2020-08-14,6.36,-11.04,-9.72
2020-08-21,-4.84,-3.64,-5.8
2020-08-28,-9.72,6.36,-0.81
2020-09-04,-5.8,-4.84,-4.56
2020-09-11,-0.81,-9.72,-10.97
2020-09-18,-4.56,-5.8,-12.76
2020-09-25,-10.97,-0.81,-4.8
2020-10-02,-12.76,-4.56,-2.33
2020-10-09,-4.8,-10.97,-7.47
2020-10-16,-2.33,-12.76,-6.11
2020-10-23,-7.47,-4.8,-2.74
2020-10-30,-6.11,-2.33,20.5
2020-11-06,-2.74,-7.47,22.29
2020-11-13,20.5,-6.11,10.98
2020-11-20,22.29,-2.74,13.32
2020-11-27,10.98,20.5,4.7
2020-12-04,13.32,22.29,-2.02
2020-12-11,4.7,10.98,8.52
2020-12-18,-2.02,13.32,11.46
2021-01-08,8.52,4.7,-2.91
2021-01-15,11.46,-2.02,-10.23
2021-01-22,-2.91,8.52,-13.09
2021-01-29,-10.23,11.46,-3.57
2021-02-05,-13.09,-2.91,8.05
2021-02-12,-3.57,-10.23,11.44
2021-02-19,8.05,-13.09,17.06
2021-02-26,11.44,-3.57,10.87
2021-03-05,17.06,8.05,-3.8
2021-03-12,10.87,11.44,-6.43
2021-03-19,-3.8,17.06,-3.81
2021-03-26,-6.43,10.87,0.1
2021-04-09,-3.81,-3.8,-0.98
2021-04-16,0.1,-6.43,0.02
2021-04-23,-0.98,-3.81,7.34
2021-04-30,0.02,0.1,3.51
2021-05-07,7.34,-0.98,-0.43
2021-05-14,3.51,0.02,-2.39
2021-05-21,-0.43,7.34,2.32
2021-05-28,-2.39,3.51,5.93
2021-06-04,2.32,-0.43,-1.27
2021-06-11,5.93,-2.39,0.37
2021-06-18,-1.27,2.32,1.9
2021-06-25,0.37,5.93,-4.49
2021-07-02,1.9,-1.27,-9.07
2021-07-09,-4.49,0.37,-8.62
2021-07-16,-9.07,1.9,-1.04
2021-07-23,-8.62,-4.49,8.22
2021-07-30,-1.04,-9.07,5.58
2021-08-06,8.22,-8.62,-6.38
2021-08-13,5.58,-1.04,-0.93
2021-08-20,-6.38,8.22,3.04
2021-08-27,-0.93,5.58,-2.26
2021-09-03,3.04,-6.38,2.71
2021-09-10,-2.26,-0.93,8.3
2021-09-17,2.71,3.04,10.93
2021-09-24,8.3,-2.26,10.42
2021-10-01,10.93,2.71,7.59
2021-10-08,10.42,8.3,0.41
2021-10-15,7.59,10.93,-3.69
2021-10-22,0.41,10.42,-2.7
2021-10-29,-3.69,7.59,-2.66
2021-11-05,-2.7,0.41,-5.46
2021-11-12,-2.66,-3.69,-6.82
2021-11-19,-5.46,-2.7,4.38
2021-11-26,-6.82,-2.66,7.85
2021-12-03,4.38,-5.46,-2.08
2021-12-10,7.85,-6.82,-1.39
2021-12-17,-2.08,4.38,-0.97
2021-12-24,-1.39,7.85,7.31
2021-12-31,-0.97,-2.08,17.61
2022-01-07,7.31,-1.39,5.43
2022-01-14,17.61,-0.97,-0.84
2022-01-21,5.43,7.31,6.19
2022-01-28,-0.84,17.61,8.24
2022-02-04,6.19,5.43,-3.57
2022-02-11,8.24,-0.84,-9.28
2022-02-18,-3.57,6.19,-11.05
2022-02-25,-9.28,8.24,-4.78
2022-03-04,-11.05,-3.57,3.52
2022-03-11,-4.78,-9.28,8.68
2022-03-18,3.52,-11.05,5.15
2022-03-25,8.68,-4.78,-0.05
2022-04-01,5.15,3.52,3.75
2022-04-08,-0.05,8.68,0.01
2022-04-22,3.75,5.15,8.52
2022-04-29,0.01,-0.05,5.91
2022-05-06,8.52,3.75,-2.21
2022-05-13,5.91,0.01,3.85
2022-05-20,-2.21,8.52,4.85
2022-05-27,3.85,5.91,-11.89
2022-06-10,4.85,-2.21,-11.65
2022-06-17,-11.89,3.85,1.33
2022-06-24,-11.65,4.85,0.01
2022-07-01,1.33,-11.89,-2.96
2022-07-08,0.01,-11.65,-0.84
2022-07-15,-2.96,1.33,7.21
2022-07-22,-0.84,0.01,7.27
2022-07-29,7.21,-2.96,7.64
2022-08-05,7.27,-0.84,8.91
2022-08-12,7.64,7.21,6.33
2022-08-19,8.91,7.27,1.32
2022-08-26,6.33,7.64,-1.53
2022-09-02,1.32,8.91,-0.36
2022-09-09,-1.53,6.33,-3.93
2022-09-16,-0.36,1.32,-4.19
2022-09-23,-3.93,-1.53,8.31
2022-09-30,-4.19,-0.36,5.07
2022-10-07,8.31,-3.93,-0.99
2022-10-14,5.07,-4.19,3.93
2022-10-21,-0.99,8.31,7.64
2022-10-28,3.93,5.07,1.15
2022-11-04,7.64,-0.99,-4.78
2022-11-11,1.15,3.93,2.08
2022-11-18,-4.78,7.64,1.02
2022-11-25,2.08,1.15,-5.41
2022-12-02,1.02,-4.78,-5.3
2022-12-09,-5.41,2.08,3.67
2022-12-16,-5.3,1.02,4.28
2022-12-23,3.67,-5.41,-0.39
2022-12-30,4.28,-5.3,1.99
2023-01-06,-0.39,3.67,-0.25
2023-01-13,1.99,4.28,1.02
2023-01-20,-0.25,-0.39,2.14
2023-01-27,1.02,1.99,14.45
2023-02-03,2.14,-0.25,15.19
2023-02-10,14.45,1.02,-1.75
2023-02-17,15.19,2.14,-0.82
2023-02-24,-1.75,14.45,-0.18
2023-03-03,-0.82,15.19,-13.57
2023-03-10,-0.18,-1.75,-11.45
2023-03-17,-13.57,-0.82,6.43
2023-03-24,-11.45,-0.18,11.25
2023-03-31,6.43,-13.57,3.76
2023-04-14,11.25,-11.45,-1.22
