Date,StringencyIndex_Average,Previous Stringency,Stringency_Change
2020-01-31,5.56,5.56,0.0
2020-01-31,5.56,5.56,0.0
2020-01-31,8.33,5.56,2.7700000000000005
2020-02-01,8.33,5.56,2.7700000000000005
2020-02-01,11.11,5.56,5.55
2020-02-01,5.56,5.56,0.0
2020-02-01,5.56,11.11,-5.55
2020-02-01,5.56,5.56,0.0
2020-02-02,11.11,5.56,5.55
2020-02-02,11.11,8.33,2.7799999999999994
2020-02-02,11.11,8.33,2.7799999999999994
2020-02-02,11.11,11.11,0.0
2020-02-02,11.11,5.56,5.55
2020-02-03,11.11,5.56,5.55
2020-02-03,11.11,5.56,5.55
2020-02-03,11.11,11.11,0.0
2020-02-03,11.11,11.11,0.0
2020-02-03,11.11,11.11,0.0
2020-02-04,11.11,11.11,0.0
2020-02-04,11.11,11.11,0.0
2020-02-04,11.11,11.11,0.0
2020-02-04,11.11,11.11,0.0
2020-02-04,11.11,11.11,0.0
2020-02-05,11.11,11.11,0.0
2020-02-05,11.11,11.11,0.0
2020-02-05,11.11,11.11,0.0
2020-02-05,11.11,11.11,0.0
2020-02-05,11.11,11.11,0.0
2020-02-06,11.11,11.11,0.0
2020-02-06,11.11,11.11,0.0
2020-02-06,11.11,11.11,0.0
2020-02-06,11.11,11.11,0.0
2020-02-06,11.11,11.11,0.0
2020-02-07,11.11,11.11,0.0
2020-02-07,11.11,11.11,0.0
2020-02-07,11.11,11.11,0.0
2020-02-07,11.11,11.11,0.0
2020-02-07,11.11,11.11,0.0
2020-02-08,11.11,11.11,0.0
2020-02-08,11.11,11.11,0.0
2020-02-08,11.11,11.11,0.0
2020-02-08,11.11,11.11,0.0
2020-02-08,11.11,11.11,0.0
2020-02-09,11.11,11.11,0.0
2020-02-09,11.11,11.11,0.0
2020-02-09,11.11,11.11,0.0
2020-02-09,11.11,11.11,0.0
2020-02-09,11.11,11.11,0.0
2020-02-10,11.11,11.11,0.0
2020-02-10,11.11,11.11,0.0
2020-02-10,11.11,11.11,0.0
2020-02-10,11.11,11.11,0.0
2020-02-10,11.11,11.11,0.0
2020-02-11,11.11,11.11,0.0
2020-02-11,11.11,11.11,0.0
2020-02-11,11.11,11.11,0.0
2020-02-11,11.11,11.11,0.0
2020-02-11,11.11,11.11,0.0
2020-02-12,11.11,11.11,0.0
2020-02-12,11.11,11.11,0.0
2020-02-12,11.11,11.11,0.0
2020-02-12,11.11,11.11,0.0
2020-02-12,11.11,11.11,0.0
2020-02-13,11.11,11.11,0.0
2020-02-13,11.11,11.11,0.0
2020-02-13,11.11,11.11,0.0
2020-02-13,11.11,11.11,0.0
2020-02-13,11.11,11.11,0.0
2020-02-14,11.11,11.11,0.0
2020-02-14,11.11,11.11,0.0
2020-02-14,11.11,11.11,0.0
2020-02-14,11.11,11.11,0.0
2020-02-14,11.11,11.11,0.0
2020-02-15,11.11,11.11,0.0
2020-02-15,11.11,11.11,0.0
2020-02-15,11.11,11.11,0.0
2020-02-15,11.11,11.11,0.0
2020-02-15,11.11,11.11,0.0
2020-02-16,11.11,11.11,0.0
2020-02-16,11.11,11.11,0.0
2020-02-16,11.11,11.11,0.0
2020-02-16,11.11,11.11,0.0
2020-02-16,11.11,11.11,0.0
2020-02-17,11.11,11.11,0.0
2020-02-17,11.11,11.11,0.0
2020-02-17,11.11,11.11,0.0
2020-02-17,11.11,11.11,0.0
2020-02-17,11.11,11.11,0.0
2020-02-18,11.11,11.11,0.0
2020-02-18,11.11,11.11,0.0
2020-02-18,11.11,11.11,0.0
2020-02-18,11.11,11.11,0.0
2020-02-18,11.11,11.11,0.0
2020-02-19,11.11,11.11,0.0
2020-02-19,11.11,11.11,0.0
2020-02-19,11.11,11.11,0.0
2020-02-19,11.11,11.11,0.0
2020-02-19,11.11,11.11,0.0
2020-02-20,11.11,11.11,0.0
2020-02-20,11.11,11.11,0.0
2020-02-20,11.11,11.11,0.0
2020-02-20,11.11,11.11,0.0
2020-02-20,11.11,11.11,0.0
2020-02-21,11.11,11.11,0.0
2020-02-21,11.11,11.11,0.0
2020-02-21,11.11,11.11,0.0
2020-02-21,11.11,11.11,0.0
2020-02-21,11.11,11.11,0.0
2020-02-22,11.11,11.11,0.0
2020-02-22,11.11,11.11,0.0
2020-02-22,11.11,11.11,0.0
2020-02-22,11.11,11.11,0.0
2020-02-22,11.11,11.11,0.0
2020-02-23,11.11,11.11,0.0
2020-02-23,11.11,11.11,0.0
