Date,% downloaded_hold_BP Change,Previous % downloaded_hold_BP Change,Next % downloaded_hold_BP Change
2020-02-10,-2.59,-4.05,1.83
2020-02-11,-2.5,-2.85,-2.98
2020-02-12,-0.69,-3.49,-4.44
2020-02-13,-1.53,-6.18,-1.85
2020-02-14,0.03,-8.0,-3.5
2020-02-17,1.83,-8.27,-5.67
2020-02-18,-2.98,-3.83,-8.73
2020-02-19,-4.44,0.79,-9.73
2020-02-20,-1.85,-1.48,-9.96
2020-02-21,-3.5,-3.31,-13.29
2020-02-24,-5.67,-2.59,-10.79
2020-02-25,-8.73,-2.5,-9.3
2020-02-26,-9.73,-0.69,-8.68
2020-02-27,-9.96,-1.53,-10.62
2020-02-28,-13.29,0.03,-12.87
2020-03-02,-10.79,1.83,-27.39
2020-03-03,-9.3,-2.98,-23.28
2020-03-04,-8.68,-4.44,-25.97
2020-03-05,-10.62,-1.85,-33.6
2020-03-06,-12.87,-3.5,-30.25
2020-03-09,-27.39,-5.67,-36.94
2020-03-10,-23.28,-8.73,-37.43
2020-03-11,-25.97,-9.73,-44.71
2020-03-12,-33.6,-9.96,-42.22
2020-03-13,-30.25,-13.29,-36.31
2020-03-16,-36.94,-10.79,-19.26
2020-03-17,-37.43,-9.3,-5.03
2020-03-18,-44.71,-8.68,7.02
2020-03-19,-42.22,-10.62,22.55
2020-03-20,-36.31,-12.87,10.57
2020-03-23,-19.26,-27.39,24.77
2020-03-24,-5.03,-23.28,32.56
2020-03-25,7.02,-25.97,42.79
2020-03-26,22.55,-33.6,46.77
2020-03-27,10.57,-30.25,34.01
2020-03-30,24.77,-36.94,30.73
2020-03-31,32.56,-37.43,9.17
2020-04-01,42.79,-44.71,-1.19
2020-04-02,46.77,-42.22,-0.37
2020-04-03,34.01,-36.31,5.11
2020-04-06,30.73,-19.26,-7.39
2020-04-07,9.17,-5.03,-15.18
2020-04-08,-1.19,7.02,-9.04
2020-04-09,-0.37,22.55,-14.45
2020-04-14,5.11,10.57,-13.09
2020-04-15,-7.39,24.77,-7.47
2020-04-16,-15.18,32.56,-6.86
2020-04-17,-9.04,42.79,-7.98
2020-04-20,-14.45,46.77,-6.48
2020-04-21,-13.09,34.01,0.31
2020-04-22,-7.47,30.73,11.28
2020-04-23,-6.86,9.17,7.24
2020-04-24,-7.98,-1.19,-1.55
2020-04-27,-6.48,-0.37,-0.56
2020-04-28,0.31,5.11,8.78
2020-04-29,11.28,-7.39,0.95
2020-04-30,7.24,-15.18,-0.54
2020-05-01,-1.55,-9.04,1.7
2020-05-04,-0.56,-14.45,-0.24
2020-05-05,8.78,-13.09,-6.35
2020-05-06,0.95,-7.47,-11.11
2020-05-07,-0.54,-6.86,-5.3
2020-05-11,1.7,-7.98,7.34
2020-05-12,-0.24,-6.48,4.51
2020-05-13,-6.35,0.31,-0.11
2020-05-14,-11.11,11.28,-0.57
2020-05-15,-5.3,7.24,-1.87
2020-05-18,7.34,-1.55,-1.24
2020-05-19,4.51,-0.56,1.98
2020-05-20,-0.11,8.78,4.08
2020-05-21,-0.57,0.95,3.14
2020-05-22,-1.87,-0.54,4.89
2020-05-26,-1.24,1.7,2.43
2020-05-27,1.98,-0.24,8.01
2020-05-28,4.08,-6.35,5.54
2020-05-29,3.14,-11.11,16.14
2020-06-01,4.89,-5.3,17.98
2020-06-02,2.43,7.34,13.91
2020-06-03,8.01,4.51,7.83
2020-06-04,5.54,-0.11,2.21
2020-06-05,16.14,-0.57,5.66
2020-06-08,17.98,-1.87,1.61
2020-06-09,13.91,-1.24,-2.12
2020-06-10,7.83,1.98,-6.65
2020-06-11,2.21,4.08,-6.35
2020-06-12,5.66,3.14,-11.26
2020-06-15,1.61,4.89,-13.75
2020-06-16,-2.12,2.43,-8.95
2020-06-17,-6.65,8.01,-10.77
2020-06-18,-6.35,5.54,-3.83
2020-06-19,-11.26,16.14,-5.71
2020-06-22,-13.75,17.98,-0.35
2020-06-23,-8.95,13.91,-4.49
2020-06-24,-10.77,7.83,-2.34
2020-06-25,-3.83,2.21,-0.51
2020-06-26,-5.71,5.66,-4.32
2020-06-29,-0.35,1.61,-0.86
2020-06-30,-4.49,-2.12,-4.08
2020-07-01,-2.34,-6.65,-1.27
2020-07-02,-0.51,-6.35,-6.03
2020-07-03,-4.32,-11.26,-4.53
2020-07-06,-0.86,-13.75,-5.8
2020-07-07,-4.08,-8.95,-0.88
2020-07-08,-1.27,-10.77,0.29
2020-07-09,-6.03,-3.83,-0.26
2020-07-10,-4.53,-5.71,0.57
2020-07-13,-5.8,-0.35,-3.05
2020-07-14,-0.88,-4.49,2.46
2020-07-15,0.29,-2.34,0.13
2020-07-16,-0.26,-0.51,3.38
2020-07-17,0.57,-4.32,2.51
2020-07-20,-3.05,-0.86,-0.76
2020-07-21,2.46,-4.08,-3.53
2020-07-22,0.13,-1.27,-5.3
2020-07-23,3.38,-6.03,-9.31
2020-07-24,2.51,-4.53,-11.04
2020-07-27,-0.76,-5.8,-7.31
2020-07-28,-3.53,-0.88,-5.29
2020-07-29,-5.3,0.29,0.92
2020-07-30,-9.31,-0.26,-1.52
2020-07-31,-11.04,0.57,-3.64
2020-08-03,-7.31,-3.05,0.34
2020-08-04,-5.29,2.46,4.7
2020-08-05,0.92,0.13,5.96
2020-08-06,-1.52,3.38,6.3
2020-08-07,-3.64,2.51,6.36
2020-08-10,0.34,-0.76,2.67
2020-08-11,4.7,-3.53,-5.31
2020-08-12,5.96,-5.3,-7.48
2020-08-13,6.3,-9.31,-6.27
2020-08-14,6.36,-11.04,-4.84
2020-08-17,2.67,-7.31,-4.54
2020-08-18,-5.31,-5.29,-10.68
2020-08-19,-7.48,0.92,-13.03
2020-08-20,-6.27,-1.52,-11.27
2020-08-21,-4.84,-3.64,-9.72
2020-08-24,-4.54,0.34,-10.0
2020-08-25,-10.68,4.7,-8.95
2020-08-26,-13.03,5.96,-8.44
2020-08-27,-11.27,6.3,-6.96
2020-08-28,-9.72,6.36,-2.45
2020-09-01,-10.0,2.67,-8.33
2020-09-02,-8.95,-5.31,-4.53
2020-09-03,-8.44,-7.48,-3.14
2020-09-04,-6.96,-6.27,-1.95
2020-09-07,-2.45,-4.84,-2.69
2020-09-08,-8.33,-4.54,-0.27
2020-09-09,-4.53,-10.68,-0.81
2020-09-10,-3.14,-13.03,-2.93
2020-09-11,-1.95,-11.27,-4.56
2020-09-14,-2.69,-9.72,-11.48
2020-09-15,-0.27,-10.0,-6.38
2020-09-16,-0.81,-8.95,-8.79
2020-09-17,-2.93,-8.44,-11.38
2020-09-18,-4.56,-6.96,-10.97
2020-09-21,-11.48,-2.45,-8.81
2020-09-22,-6.38,-8.33,-11.47
2020-09-23,-8.79,-4.53,-12.0
2020-09-24,-11.38,-3.14,-13.46
2020-09-25,-10.97,-1.95,-12.76
2020-09-28,-8.81,-2.69,-7.73
2020-09-29,-11.47,-0.27,-8.95
2020-09-30,-12.0,-0.81,-9.76
2020-10-01,-13.46,-2.93,-4.97
2020-10-02,-12.76,-4.56,-4.8
2020-10-05,-7.73,-11.48,-7.12
2020-10-06,-8.95,-6.38,-7.04
2020-10-07,-9.76,-8.79,-5.57
2020-10-08,-4.97,-11.38,-5.38
2020-10-09,-4.8,-10.97,-2.33
2020-10-12,-7.12,-8.81,-4.61
2020-10-13,-7.04,-11.47,-6.54
2020-10-14,-5.57,-12.0,-7.36
2020-10-15,-5.38,-13.46,-8.81
2020-10-16,-2.33,-12.76,-7.47
2020-10-19,-4.61,-7.73,-8.15
2020-10-20,-6.54,-8.95,-8.17
2020-10-21,-7.36,-9.76,-9.03
2020-10-22,-8.81,-4.97,-6.29
2020-10-23,-7.47,-4.8,-6.11
2020-10-26,-8.15,-7.12,-1.23
2020-10-27,-8.17,-7.04,1.94
2020-10-28,-9.03,-5.57,4.4
2020-10-29,-6.29,-5.38,-0.37
2020-10-30,-6.11,-2.33,-2.74
2020-11-02,-1.23,-4.61,14.97
2020-11-03,1.94,-6.54,23.48
2020-11-04,4.4,-7.36,25.65
2020-11-05,-0.37,-8.81,22.92
2020-11-06,-2.74,-7.47,20.5
2020-11-09,14.97,-8.15,22.2
2020-11-10,23.48,-8.17,19.89
2020-11-11,25.65,-9.03,20.69
2020-11-12,22.92,-6.29,21.48
2020-11-13,20.5,-6.11,22.29
2020-11-16,22.2,-1.23,10.22
2020-11-17,19.89,1.94,13.69
2020-11-18,20.69,4.4,10.08
2020-11-19,21.48,-0.37,10.81
2020-11-20,22.29,-2.74,10.98
2020-11-23,10.22,14.97,-1.24
2020-11-24,13.69,23.48,1.33
2020-11-25,10.08,25.65,6.03
2020-11-26,10.81,22.92,9.33
2020-11-27,10.98,20.5,13.32
2020-11-30,-1.24,22.2,8.03
2020-12-01,1.33,19.89,-0.8
2020-12-02,6.03,20.69,1.89
2020-12-03,9.33,21.48,8.06
2020-12-04,13.32,22.29,4.7
2020-12-07,8.03,10.22,8.92
2020-12-08,-0.8,13.69,6.16
2020-12-09,1.89,10.08,2.04
2020-12-10,8.06,10.81,1.07
2020-12-11,4.7,10.98,-2.02
2020-12-14,8.92,-1.24,-5.75
2020-12-15,6.16,1.33,-5.15
2020-12-16,2.04,6.03,-2.51
2020-12-17,1.07,9.33,-7.64
2020-12-18,-2.02,13.32,-4.69
2020-12-21,-5.75,8.03,-3.84
2020-12-22,-5.15,-0.8,-5.89
2020-12-23,-2.51,1.89,-6.64
2020-12-24,-7.64,8.06,1.17
2020-12-29,-4.69,4.7,6.8
2020-12-30,-3.84,8.92,14.32
2020-12-31,-5.89,6.16,15.53
2021-01-04,-6.64,2.04,12.44
2021-01-05,1.17,1.07,15.97
2021-01-06,6.8,-2.02,15.84
2021-01-07,14.32,-5.75,19.22
2021-01-08,15.53,-5.15,18.7
2021-01-11,12.44,-2.51,18.02
2021-01-12,15.97,-7.64,10.55
2021-01-13,15.84,-4.69,4.5
2021-01-14,19.22,-3.84,-0.56
2021-01-15,18.7,-5.89,-2.91
2021-01-18,18.02,-6.64,-6.07
2021-01-19,10.55,1.17,-7.43
2021-01-20,4.5,6.8,-7.09
2021-01-21,-0.56,14.32,-10.59
2021-01-22,-2.91,15.53,-10.23
2021-01-25,-6.07,12.44,-11.07
2021-01-26,-7.43,15.97,-15.35
2021-01-27,-7.09,15.84,-14.71
2021-01-28,-10.59,19.22,-13.09
2021-01-29,-10.23,18.7,-13.09
2021-02-01,-11.07,18.02,-6.66
2021-02-02,-15.35,10.55,-8.02
2021-02-03,-14.71,4.5,-8.23
2021-02-04,-13.09,-0.56,-6.76
2021-02-05,-13.09,-2.91,-3.57
2021-02-08,-6.66,-6.07,4.42
2021-02-09,-8.02,-7.43,9.1
2021-02-10,-8.23,-7.09,8.63
2021-02-11,-6.76,-10.59,5.67
2021-02-12,-3.57,-10.23,8.05
2021-02-15,4.42,-11.07,6.87
2021-02-16,9.1,-15.35,9.16
2021-02-17,8.63,-14.71,15.32
2021-02-18,5.67,-13.09,18.13
2021-02-19,8.05,-13.09,11.44
2021-02-22,6.87,-6.66,6.69
2021-02-23,9.16,-8.02,6.61
2021-02-24,15.32,-8.23,8.66
2021-02-25,18.13,-6.76,16.22
2021-02-26,11.44,-3.57,17.06
2021-03-01,6.69,4.42,13.82
2021-03-02,6.61,9.1,11.2
2021-03-03,8.66,8.63,5.42
2021-03-04,16.22,5.67,4.96
2021-03-05,17.06,8.05,10.87
2021-03-08,13.82,6.87,6.25
2021-03-09,11.2,9.16,4.94
2021-03-10,5.42,15.32,2.92
2021-03-11,4.96,18.13,-0.37
2021-03-12,10.87,11.44,-3.8
2021-03-15,6.25,6.69,-3.58
2021-03-16,4.94,6.61,-6.19
2021-03-17,2.92,8.66,-4.27
2021-03-18,-0.37,16.22,-8.12
2021-03-19,-3.8,17.06,-6.43
2021-03-22,-3.58,13.82,-4.95
2021-03-23,-6.19,11.2,-3.13
2021-03-24,-4.27,5.42,-6.1
2021-03-25,-8.12,4.96,-7.1
2021-03-26,-6.43,10.87,-2.23
2021-03-29,-4.95,6.25,-0.59
2021-03-30,-3.13,4.94,0.91
2021-03-31,-6.1,2.92,-2.17
2021-04-01,-7.1,-0.37,1.6
2021-04-06,-2.23,-3.8,-1.45
2021-04-07,-0.59,-3.58,2.61
2021-04-08,0.91,-6.19,0.66
2021-04-09,-2.17,-4.27,2.82
2021-04-12,1.6,-8.12,3.81
2021-04-13,-1.45,-6.43,-2.7
2021-04-14,2.61,-4.95,-3.19
2021-04-15,0.66,-3.13,-1.16
2021-04-16,2.82,-6.1,-0.98
2021-04-19,3.81,-7.1,-0.62
2021-04-20,-2.7,-2.23,-0.99
2021-04-21,-3.19,-0.59,-1.25
2021-04-22,-1.16,0.91,-0.49
2021-04-23,-0.98,-2.17,0.02
2021-04-26,-0.62,1.6,3.09
2021-04-27,-0.99,-1.45,9.17
2021-04-28,-1.25,2.61,6.36
2021-04-29,-0.49,0.66,6.29
2021-04-30,0.02,2.82,8.08
2021-05-04,3.09,3.81,2.71
2021-05-05,9.17,-2.7,6.77
2021-05-06,6.36,-3.19,1.28
2021-05-07,6.29,-1.16,3.86
2021-05-10,8.08,-0.98,4.09
2021-05-11,2.71,-0.62,2.14
2021-05-12,6.77,-0.99,-3.19
2021-05-13,1.28,-1.25,-1.34
2021-05-14,3.86,-0.49,-0.43
2021-05-17,4.09,0.02,0.22
2021-05-18,2.14,3.09,1.79
2021-05-19,-3.19,9.17,-1.46
2021-05-20,-1.34,6.36,-0.6
2021-05-21,-0.43,6.29,-2.39
2021-05-24,0.22,8.08,-0.21
2021-05-25,1.79,2.71,1.56
2021-05-26,-1.46,6.77,5.11
2021-05-27,-0.6,1.28,2.95
2021-05-28,-2.39,3.86,2.24
2021-06-01,-0.21,4.09,2.15
2021-06-02,1.56,2.14,4.74
2021-06-03,5.11,-3.19,4.07
2021-06-04,2.95,-1.34,5.79
2021-06-07,2.24,-0.43,7.92
2021-06-08,2.15,0.22,5.7
2021-06-09,4.74,1.79,2.24
2021-06-10,4.07,-1.46,-0.02
2021-06-11,5.79,-0.6,-1.27
2021-06-14,7.92,-2.39,-0.74
2021-06-15,5.7,-0.21,-0.15
2021-06-16,2.24,1.56,-0.17
2021-06-17,-0.02,5.11,0.29
2021-06-18,-1.27,2.95,0.37
2021-06-21,-0.74,2.24,-4.62
2021-06-22,-0.15,2.15,-5.02
2021-06-23,-0.17,4.74,-4.24
2021-06-24,0.29,4.07,0.14
2021-06-25,0.37,5.79,1.9
2021-06-28,-4.62,7.92,2.34
2021-06-29,-5.02,5.7,-3.69
2021-06-30,-4.24,2.24,-5.09
2021-07-01,0.14,-0.02,-5.12
2021-07-02,1.9,-1.27,-4.49
2021-07-05,2.34,-0.74,-1.9
2021-07-06,-3.69,-0.15,-3.2
2021-07-07,-5.09,-0.17,-3.25
2021-07-08,-5.12,0.29,-8.77
2021-07-09,-4.49,0.37,-9.07
2021-07-12,-1.9,-4.62,-14.12
2021-07-13,-3.2,-5.02,-9.86
2021-07-14,-3.25,-4.24,-5.93
2021-07-15,-8.77,0.14,-7.7
2021-07-16,-9.07,1.9,-8.62
2021-07-19,-14.12,2.34,-5.47
2021-07-20,-9.86,-3.69,-4.74
2021-07-21,-5.93,-5.09,-4.25
2021-07-22,-7.7,-5.12,-0.14
2021-07-23,-8.62,-4.49,-1.04
2021-07-26,-5.47,-1.9,4.06
2021-07-27,-4.74,-3.2,9.26
2021-07-28,-4.25,-3.25,4.68
2021-07-29,-0.14,-8.77,7.66
2021-07-30,-1.04,-9.07,8.22
2021-08-02,4.06,-14.12,4.52
2021-08-03,9.26,-9.86,6.01
2021-08-04,4.68,-5.93,6.82
2021-08-05,7.66,-7.7,3.82
2021-08-06,8.22,-8.62,5.58
2021-08-09,4.52,-5.47,2.85
2021-08-10,6.01,-4.74,-1.19
2021-08-11,6.82,-4.25,-0.12
2021-08-12,3.82,-0.14,-5.89
2021-08-13,5.58,-1.04,-6.38
2021-08-16,2.85,4.06,-3.42
2021-08-17,-1.19,9.26,-3.25
2021-08-18,-0.12,4.68,-4.28
2021-08-19,-5.89,7.66,-3.39
2021-08-20,-6.38,8.22,-0.93
2021-08-23,-3.42,4.52,-0.35
2021-08-24,-3.25,6.01,-2.71
2021-08-25,-4.28,6.82,-0.91
2021-08-26,-3.39,3.82,3.08
2021-08-27,-0.93,5.58,3.68
2021-08-31,-0.35,2.85,1.15
2021-09-01,-2.71,-1.19,-0.2
2021-09-02,-0.91,-0.12,-1.22
2021-09-03,3.08,-5.89,-0.3
2021-09-06,3.68,-6.38,-0.07
2021-09-07,1.15,-3.42,1.03
2021-09-08,-0.2,-3.25,5.1
2021-09-09,-1.22,-4.28,2.02
2021-09-10,-0.3,-3.39,2.71
2021-09-13,-0.07,-0.93,1.76
2021-09-14,1.03,-0.35,3.49
2021-09-15,5.1,-2.71,6.2
2021-09-16,2.02,-0.91,7.82
2021-09-17,2.71,3.08,8.3
2021-09-20,1.76,3.68,9.59
2021-09-21,3.49,1.15,12.2
2021-09-22,6.2,-0.2,9.39
2021-09-23,7.82,-1.22,11.23
2021-09-24,8.3,-0.3,10.93
2021-09-27,9.59,-0.07,13.42
2021-09-28,12.2,1.03,13.55
2021-09-29,9.39,5.1,7.83
2021-09-30,11.23,2.02,8.51
2021-10-01,10.93,2.71,10.42
2021-10-04,13.42,1.76,8.75
2021-10-05,13.55,3.49,6.42
2021-10-06,7.83,6.2,4.92
2021-10-07,8.51,7.82,5.11
2021-10-08,10.42,8.3,7.59
2021-10-11,8.75,9.59,4.94
2021-10-12,6.42,12.2,3.22
2021-10-13,4.92,9.39,6.31
2021-10-14,5.11,11.23,3.31
2021-10-15,7.59,10.93,0.41
2021-10-18,4.94,13.42,0.1
2021-10-19,3.22,13.55,0.28
2021-10-20,6.31,7.83,0.75
2021-10-21,3.31,8.51,-1.58
2021-10-22,0.41,10.42,-3.69
2021-10-25,0.1,8.75,-1.23
2021-10-26,0.28,6.42,-4.7
2021-10-27,0.75,4.92,-7.78
2021-10-28,-1.58,5.11,-4.69
2021-10-29,-3.69,7.59,-2.7
2021-11-01,-1.23,4.94,-4.27
2021-11-02,-4.7,3.22,-4.11
2021-11-03,-7.78,6.31,-2.74
2021-11-04,-4.69,3.31,-1.96
2021-11-05,-2.7,0.41,-2.66
2021-11-08,-4.27,0.1,-4.33
2021-11-09,-4.11,0.28,-0.12
2021-11-10,-2.74,0.75,2.14
2021-11-11,-1.96,-1.58,-0.9
2021-11-12,-2.66,-3.69,-5.46
2021-11-15,-4.33,-1.23,-3.14
2021-11-16,-0.12,-4.7,-1.47
2021-11-17,2.14,-7.78,-0.95
2021-11-18,-0.9,-4.69,-0.12
2021-11-19,-5.46,-2.7,-6.82
2021-11-22,-3.14,-4.27,-4.06
2021-11-23,-1.47,-4.11,-5.54
2021-11-24,-0.95,-2.74,-2.66
2021-11-25,-0.12,-1.96,0.04
2021-11-26,-6.82,-2.66,4.38
2021-11-29,-4.06,-4.33,3.62
2021-11-30,-5.54,-0.12,3.39
2021-12-01,-2.66,2.14,1.22
2021-12-02,0.04,-0.9,-0.35
2021-12-03,4.38,-5.46,7.85
2021-12-06,3.62,-3.14,2.23
2021-12-07,3.39,-1.47,3.75
2021-12-08,1.22,-0.95,-0.6
2021-12-09,-0.35,-0.12,0.7
2021-12-10,7.85,-6.82,-2.08
2021-12-13,2.23,-4.06,-6.7
2021-12-14,3.75,-5.54,-5.46
2021-12-15,-0.6,-2.66,-4.01
2021-12-16,0.7,0.04,-1.63
2021-12-17,-2.08,4.38,-1.39
2021-12-20,-6.7,3.62,0.3
2021-12-21,-5.46,3.39,-1.38
2021-12-22,-4.01,1.22,-0.12
2021-12-23,-1.63,-0.35,3.56
2021-12-24,-1.39,7.85,6.31
2021-12-29,0.3,2.23,9.85
2021-12-30,-1.38,3.75,9.28
2021-12-31,-0.12,-0.6,8.47
2022-01-04,3.56,0.7,9.37
2022-01-05,6.31,-2.08,12.91
2022-01-06,9.85,-6.7,14.26
2022-01-07,9.28,-5.46,16.73
2022-01-10,8.47,-4.01,19.14
2022-01-11,9.37,-1.63,12.75
2022-01-12,12.91,-1.39,11.08
2022-01-13,14.26,0.3,9.57
2022-01-14,16.73,-1.38,5.43
2022-01-17,19.14,-0.12,0.29
2022-01-18,12.75,3.56,2.72
2022-01-19,11.08,6.31,3.32
2022-01-20,9.57,9.85,2.24
2022-01-21,5.43,9.28,-0.84
2022-01-24,0.29,8.47,-2.78
2022-01-25,2.72,9.37,-0.62
2022-01-26,3.32,12.91,-1.15
2022-01-27,2.24,14.26,0.84
2022-01-28,-0.84,16.73,6.19
2022-01-31,-2.78,19.14,12.24
2022-02-01,-0.62,12.75,5.1
2022-02-02,-1.15,11.08,4.11
2022-02-03,0.84,9.57,4.64
2022-02-04,6.19,5.43,8.24
2022-02-07,12.24,0.29,4.66
2022-02-08,5.1,2.72,1.03
2022-02-09,4.11,3.32,3.65
2022-02-10,4.64,2.24,1.4
2022-02-11,8.24,-0.84,-3.57
2022-02-14,4.66,-2.78,-4.96
2022-02-15,1.03,-0.62,-3.13
2022-02-16,3.65,-1.15,-6.68
2022-02-17,1.4,0.84,-11.04
2022-02-18,-3.57,6.19,-9.28
2022-02-21,-4.96,12.24,-9.26
2022-02-22,-3.13,5.1,-10.13
2022-02-23,-6.68,4.11,-7.27
2022-02-24,-11.04,4.64,-9.91
2022-02-25,-9.28,8.24,-11.05
2022-02-28,-9.26,4.66,-6.93
2022-03-01,-10.13,1.03,-1.68
2022-03-02,-7.27,3.65,-2.96
2022-03-03,-9.91,1.4,-0.51
2022-03-04,-11.05,-3.57,-4.78
2022-03-07,-6.93,-4.96,-1.94
2022-03-08,-1.68,-3.13,1.09
2022-03-09,-2.96,-6.68,-3.67
2022-03-10,-0.51,-11.04,2.68
2022-03-11,-4.78,-9.28,3.52
2022-03-14,-1.94,-9.26,3.73
2022-03-15,1.09,-10.13,-2.29
2022-03-16,-3.67,-7.27,4.4
2022-03-17,2.68,-9.91,7.07
2022-03-18,3.52,-11.05,8.68
2022-03-21,3.73,-6.93,6.84
2022-03-22,-2.29,-1.68,2.87
2022-03-23,4.4,-2.96,6.13
2022-03-24,7.07,-0.51,1.98
2022-03-25,8.68,-4.78,5.15
2022-03-28,6.84,-1.94,0.69
2022-03-29,2.87,1.09,3.12
2022-03-30,6.13,-3.67,-1.82
2022-03-31,1.98,2.68,-3.03
2022-04-01,5.15,3.52,-0.05
2022-04-04,0.69,3.73,1.51
2022-04-05,3.12,-2.29,6.62
2022-04-06,-1.82,4.4,3.81
2022-04-07,-3.03,7.07,6.42
2022-04-08,-0.05,8.68,5.83
2022-04-11,1.51,6.84,6.24
2022-04-12,6.62,2.87,5.29
2022-04-13,3.81,6.13,3.23
2022-04-14,6.42,1.98,-2.27
2022-04-19,5.83,5.15,-3.08
2022-04-20,6.24,0.69,-2.13
2022-04-21,5.29,3.12,-2.0
2022-04-22,3.23,-1.82,-1.46
2022-04-25,-2.27,-3.03,3.71
2022-04-26,-3.08,-0.05,3.7
2022-04-27,-2.13,1.51,4.42
2022-04-28,-2.0,6.62,5.83
2022-04-29,-1.46,3.81,2.96
2022-05-03,3.71,6.42,9.79
2022-05-04,3.7,5.83,10.66
2022-05-05,4.42,6.24,5.75
2022-05-06,5.83,5.29,6.87
2022-05-09,2.96,3.23,6.84
2022-05-10,9.79,-2.27,1.69
2022-05-11,10.66,-3.08,1.55
2022-05-12,5.75,-2.13,-1.48
2022-05-13,6.87,-2.0,-2.21
2022-05-16,6.84,-1.46,5.93
2022-05-17,1.69,3.71,4.61
2022-05-18,1.55,3.7,1.89
2022-05-19,-1.48,4.42,8.77
2022-05-20,-2.21,5.83,3.85
2022-05-23,5.93,2.96,3.62
2022-05-24,4.61,9.79,3.09
2022-05-25,1.89,10.66,2.12
2022-05-26,8.77,5.75,6.72
2022-05-27,3.85,6.87,7.02
2022-05-30,3.62,6.84,5.27
2022-05-31,3.09,1.69,5.83
2022-06-01,2.12,1.55,2.24
2022-06-06,6.72,-1.48,-2.06
2022-06-07,7.02,-2.21,1.0
2022-06-08,5.27,5.93,-1.41
2022-06-09,5.83,4.61,-6.87
2022-06-10,2.24,1.89,-12.02
2022-06-13,-2.06,8.77,-11.11
2022-06-14,1.0,3.85,-11.46
2022-06-15,-1.41,3.62,-15.09
2022-06-16,-6.87,3.09,-16.21
2022-06-17,-12.02,2.12,-11.65
2022-06-20,-11.11,6.72,-8.14
2022-06-21,-11.46,7.02,-8.71
2022-06-22,-15.09,5.27,-6.95
2022-06-23,-16.21,5.83,-3.98
2022-06-24,-11.65,2.24,1.33
2022-06-27,-8.14,-2.06,2.54
2022-06-28,-8.71,1.0,-5.58
2022-06-29,-6.95,-1.41,-3.82
2022-06-30,-3.98,-6.87,2.56
2022-07-01,1.33,-12.02,0.01
2022-07-04,2.54,-11.11,-1.79
2022-07-05,-5.58,-11.46,-5.04
2022-07-06,-3.82,-15.09,-5.15
2022-07-07,2.56,-16.21,-6.27
2022-07-08,0.01,-11.65,-2.96
2022-07-11,-1.79,-8.14,-4.76
2022-07-12,-5.04,-8.71,3.29
2022-07-13,-5.15,-6.95,5.38
2022-07-14,-6.27,-3.98,-0.35
2022-07-15,-2.96,1.33,-0.84
2022-07-18,-4.76,2.54,0.55
2022-07-19,3.29,-5.58,3.05
2022-07-20,5.38,-3.82,4.23
2022-07-21,-0.35,2.56,6.99
2022-07-22,-0.84,0.01,7.21
2022-07-25,0.55,-1.79,2.62
2022-07-26,3.05,-5.04,4.6
2022-07-27,4.23,-5.15,5.71
2022-07-28,6.99,-6.27,6.28
2022-07-29,7.21,-2.96,7.27
2022-08-01,2.62,-4.76,7.65
2022-08-02,4.6,3.29,8.75
2022-08-03,5.71,5.38,7.15
2022-08-04,6.28,-0.35,9.8
2022-08-05,7.27,-0.84,7.64
2022-08-08,7.65,0.55,8.45
2022-08-09,8.75,3.05,5.74
2022-08-10,7.15,4.23,4.92
2022-08-11,9.8,6.99,8.33
2022-08-12,7.64,7.21,8.91
2022-08-15,8.45,2.62,7.85
2022-08-16,5.74,4.6,8.72
2022-08-17,4.92,5.71,7.53
2022-08-18,8.33,6.28,7.46
2022-08-19,8.91,7.27,6.33
2022-08-22,7.85,7.65,5.58
2022-08-23,8.72,8.75,3.52
2022-08-24,7.53,7.15,2.39
2022-08-25,7.46,9.8,2.65
2022-08-26,6.33,7.64,3.47
2022-08-30,5.58,8.45,0.82
2022-08-31,3.52,5.74,-3.95
2022-09-01,2.39,4.92,-2.19
2022-09-02,2.65,8.33,-1.88
2022-09-05,3.47,8.91,0.01
2022-09-06,0.82,7.85,2.74
2022-09-07,-3.95,8.72,4.71
2022-09-08,-2.19,7.53,3.48
2022-09-09,-1.88,7.46,-0.36
2022-09-12,0.01,6.33,-2.34
2022-09-13,2.74,5.58,0.63
2022-09-14,4.71,3.52,3.85
2022-09-15,3.48,2.39,-2.25
2022-09-16,-0.36,2.65,-4.63
2022-09-20,-2.34,3.47,-5.84
2022-09-21,0.63,0.82,-5.56
2022-09-22,3.85,-3.95,-6.54
2022-09-23,-2.25,-2.19,-5.14
2022-09-26,-4.63,-1.88,-2.07
2022-09-27,-5.84,0.01,0.44
2022-09-28,-5.56,2.74,1.02
2022-09-29,-6.54,4.71,0.46
2022-09-30,-5.14,3.48,8.31
2022-10-03,-2.07,-0.36,7.56
2022-10-04,0.44,-2.34,4.99
2022-10-05,1.02,0.63,3.09
2022-10-06,0.46,3.85,6.06
2022-10-07,8.31,-2.25,5.07
2022-10-10,7.56,-4.63,1.52
2022-10-11,4.99,-5.84,-2.04
2022-10-12,3.09,-5.56,-1.08
2022-10-13,6.06,-6.54,0.13
2022-10-14,5.07,-5.14,-0.99
2022-10-17,1.52,-2.07,1.63
2022-10-18,-2.04,0.44,2.87
