rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",1,1,48,"477328"
2,"spotify:track:40SBS57su9xLiE1WqkXOVr","LF SYSTEM","Afraid To Feel","Warner Records",2,2,48,"440032"
3,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,3,106,"388691"
4,"spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ","Beyoncé","BREAK MY SOUL","Parkwood Entertainment/Columbia",3,4,24,"268197"
5,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",5,5,63,"250264"
6,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",2,6,78,"239086"
7,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",3,8,35,"210948"
8,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,7,637,"209457"
9,"spotify:track:4N5s8lPTsjI9EGP7K4SXzB","George Ezra","Green Green Grass","Columbia",6,11,73,"207962"
10,"spotify:track:0oiv4E896TUTTeQU0cmIui","Drake","Massive","OVO",6,9,28,"204582"
11,"spotify:track:7u3w4fQhulC1etJbdfmv3Q","Tion Wayne, La Roux","IFTK","Atlantic Records UK",5,10,63,"202232"
12,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",11,12,42,"198380"
13,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",13,19,98,"193163"
14,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",2,13,56,"187271"
15,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",5,14,77,"177496"
16,"spotify:track:1RF02Cf80mTaeNXG2P2boR","Nathan Dawe, Ella Henderson","21 Reasons (feat. Ella Henderson)","Atlantic Records UK",12,15,75,"172376"
17,"spotify:track:5rF6YUIlgiat22OT1lWspJ","Sam Fender","Seventeen Going Under","Polydor Records",2,20,282,"169220"
18,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",1,16,98,"165933"
19,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",4,17,28,"165218"
20,"spotify:track:2MuWTIM3b0YEAskbeeFE1i","Metallica","Master Of Puppets","Blackened Recordings / Universal Music",6,18,14,"164150"
21,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",8,21,160,"162902"
22,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",20,23,46,"158450"
23,"spotify:track:531KGXtBroSrOX9LVmiIgc","Dave","Starlight","Dave / Neighbourhood Recordings",1,22,134,"158333"
24,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",3,24,57,"154005"
25,"spotify:track:7kjANxR8XN4hCzLaSc2roy","Cat Burns, goddard.","go - goddard. Remix","Since 93",8,26,124,"144747"
26,"spotify:track:3pudQCMnsFGwOElTZmuml8","Aitch, Ashanti","Baby","Capitol Records UK / EMI",2,25,127,"143946"
27,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",9,28,2017,"140169"
