Date,EPU Index
2017-10-18,363.88
2017-10-19,429.12
2017-10-20,316.87
2017-10-21,449.01
2017-10-22,183.79
2017-10-23,534.43
2017-10-24,469.88
2017-10-25,406.51
2017-10-26,322.04
2017-10-27,211.81
2017-10-28,481.19
2017-10-29,185.81
2017-10-30,308.52
2017-10-31,429.71
2017-11-01,259.84
2017-11-02,531.47
2017-11-03,729.61
2017-11-04,635.04
2017-11-05,291.26
2017-11-06,16.37
2017-11-07,534.6
2017-11-08,305.15
2017-11-09,358.87
2017-11-10,372.69
2017-11-11,496.15
2017-11-12,185.76
2017-11-13,596.37
2017-11-14,751.12
2017-11-15,415.46
2017-11-16,416.29
2017-11-17,297.56
2017-11-18,479.39
2017-11-19,361.72
2017-11-20,496.5
2017-11-21,823.34
2017-11-22,846.25
2017-11-23,773.23
2017-11-24,554.79
2017-11-25,346.44
2017-11-26,378.56
2017-11-27,254.62
2017-11-28,477.12
2017-11-29,694.44
2017-11-30,278.86
2017-12-01,256.19
2017-12-02,209.5
2017-12-03,279
2017-12-04,581.49
2017-12-05,278.58
2017-12-06,430.02
2017-12-07,307.77
2017-12-08,459.5
2017-12-09,771.06
2017-12-10,365.74
2017-12-11,485.87
2017-12-12,403.86
2017-12-13,399.11
2017-12-14,483.62
2017-12-15,715.71
2017-12-16,204.31
2017-12-17,151.59
2017-12-18,257.27
2017-12-19,438.56
2017-12-20,492.49
2017-12-21,305.08
2017-12-22,331.16
2017-12-23,282.48
2017-12-24,392.06
2017-12-25,1.84
2017-12-26,230.53
2017-12-27,420.48
2017-12-28,331.92
2017-12-29,271.21
2017-12-30,511.95
2017-12-31,435.04
2018-01-01,626.43
2018-01-02,395.18
2018-01-03,524.09
2018-01-04,250.91
2018-01-05,515.99
2018-01-06,381.1
2018-01-07,42.39
2018-01-08,380.61
2018-01-09,417.46
2018-01-10,469.76
2018-01-11,383.06
2018-01-12,483.02
2018-01-13,293.8
2018-01-14,208.61
2018-01-15,133
2018-01-16,211.43
2018-01-17,515.98
2018-01-18,436.01
2018-01-19,238.15
